"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0061997","06702",24,0,1,"01",12420
"0061998","06703",29,0,2,"10",8000
"0062663","06705",18,0,3,"03",91000
"0062844","06701",16,0,6,"03",63400
"0062876","06704",19,0,2,"02",116500
"0062975","06701",18,0,1,"03",38500
"0063319","06703",23,0,4,"02",44080
"0063374","06703",21,0,3,"03",393900
"0063621","06703",27,0,3,"02",105000
"0063664","06703",16,0,2,"02",71140
"0063706","06705",26,0,0,"01",0
"0063753","06705",27,0,8,"02",35400
"0063860","06704",16,0,1,"09",40000
"0063892","06705",19,0,1,"02",38100
"0064226","06701",0,2,1,"  ",0
"0064551","06705",19,0,2,"02",144000
"0065474","06704",21,0,1,"02",45000
"0065711","06705",27,0,4,"02",131600
"0065917","06701",32,0,2,"06",19000
"0066223","06704",13,0,1,"02",73200
"0066518","06703",32,0,4,"02",111200
"0066714","06703",18,0,2,"02",96200
"0066828","06701",16,0,2,"02",35000
"0067327","06701",32,0,2,"06",32020
"0067679","06705",16,0,5,"02",325000
"0067747","06701",18,0,2,"06",10250
"0067769","06702",16,0,3,"02",71100
"0067790","06704",17,0,0,"02",0
"0068154","06704",27,0,4,"02",304000
"0068366","06705",21,0,2,"07",71000
"0068505","06705",16,0,5,"02",45000
"0068657","06702",13,0,5,"02",62000
"0068672","06703",23,0,4,"01",6900
"0068694","06703",26,0,2,"06",31200
"0069097","06704",19,0,2,"05",29800
"0069164","06701",9,0,0,"09",0
"0069179","06705",24,0,2,"02",60500
"0069345","06703",13,0,4,"02",34900
"0069602","06704",15,0,2,"02",134100
"0070092","06705",24,0,1,"09",16800
"0070434","06705",16,0,3,"02",117000
"0070649","06703",16,0,4,"09",14300
"0070686","06701",15,0,5,"08",18000
"0070722","06701",18,0,2,"05",36960
"0070729","06704",29,0,3,"02",26600
"0070785","06703",23,0,2,"01",119690
"0071223","06703",16,0,4,"02",173400
"0071358","06702",21,0,3,"02",306600
"0071505","06702",16,0,5,"02",80440
"0071560","06702",27,0,2,"08",24800
"0071606","06701",5,0,0,"02",0
"0071689","06704",21,0,1,"02",63020
"0071845","06705",21,0,1,"04",22100
"0071949","06704",13,0,9,"02",15000
"0072113","06702",18,0,2,"02",47000
"0072216","06704",21,0,1,"07",34500
"0072342","06704",21,0,1,"08",34400
"0072380","06704",20,0,0,"06",0
"0072568","06702",26,0,2,"02",18000
"0072572","06705",25,0,0,"08",0
"0072645","06701",23,0,2,"05",36000
"0072777","06703",21,0,2,"02",8000
"0072861","06703",18,0,2,"02",36000
"0072952","06704",27,0,4,"02",58120
"0072973","06704",0,2,1,"  ",0
"0073017","06705",18,0,11,"02",34200
"0073126","06702",26,0,6,"02",21000
"0073242","06704",21,0,3,"02",89000
"0073273","06701",26,0,1,"06",6000
"0073999","06701",23,0,1,"03",33600
"0074076","06705",24,0,2,"02",68000
"0074763","06705",21,0,4,"02",103000
"0074884","06702",19,0,1,"05",25800
"0074984","06701",16,0,4,"02",261000
"0075022","06704",19,0,2,"05",47000
"0075076","06704",26,0,3,"09",181600
"0075111","06702",14,0,3,"02",46600
"0075126","06705",16,0,6,"03",46000
"0075736","06704",26,0,4,"02",21180
"0075739","06705",21,0,1,"02",46400
"0075759","06701",16,0,1,"09",5280
"0075779","06702",29,0,5,"01",31800
"0076001","06704",21,0,1,"09",27000
"0076121","06704",15,0,0,"09",0
"0076170","06704",21,0,2,"08",1900
"0076225","06705",13,0,4,"04",13500
"0076254","06704",15,0,2,"03",71100
"0076475","06703",19,0,4,"02",70300
"0076596","06702",16,0,3,"02",115000
"0076696","06704",23,0,2,"07",94000
"0076833","06705",24,0,2,"03",24000
"0076940","06701",26,0,2,"06",65000
"0077151","06705",23,0,2,"03",48100
"0077181","06703",26,0,2,"02",150000
"0077447","06701",23,0,1,"07",39000
"0077723","06704",10,0,6,"02",66000
"0077762","06704",0,2,1,"  ",0
"0077988","06703",20,0,0,"10",0
"0078029","06701",23,0,1,"06",27000
"0078129","06705",26,0,3,"02",64900
"0078137","06704",18,0,1,"03",65000
"0078270","06705",32,0,2,"02",85000
"0078589","06701",19,0,1,"09",95500
"0078619","06701",29,0,3,"08",43480
"0078743","06705",24,0,5,"02",93200
"0079078","06704",19,0,4,"02",106800
"0079159","06705",26,0,2,"09",50900
"0079343","06701",21,0,1,"07",17300
"0079355","06701",24,0,4,"06",2400
"0079714","06705",21,0,4,"02",159530
"0079764","06705",21,0,2,"01",35700
"0079874","06705",3,0,2,"01",17000
"0079903","06705",19,0,3,"02",39210
"0080519","06703",19,0,4,"02",77000
"0080632","06703",18,0,3,"02",92000
"0080806","06704",18,0,2,"08",37840
"0081164","06703",18,0,1,"02",48300
"0081257","06705",24,0,2,"01",40360
"0081331","06703",19,0,3,"02",30000
"0081354","06705",11,0,2,"08",36000
"0081707","06705",21,0,4,"09",62364
"0081754","06705",24,0,1,"09",18400
"0081845","06704",15,0,2,"02",110000
"0081933","06701",24,0,1,"02",8400
"0082090","06704",27,0,1,"09",75080
"0082163","06705",21,0,1,"01",87400
"0082234","06703",19,0,4,"02",85000
"0082358","06704",13,0,1,"02",16100
"0082636","06704",21,0,1,"02",32000
"0082645","06705",32,0,4,"02",124940
"0082839","06701",13,0,4,"02",30200
"0083000","06701",27,0,4,"07",69000
"0083335","06705",24,0,3,"03",70000
"0083845","06705",16,0,2,"02",89000
"0084087","06701",22,0,2,"02",110900
"0084198","06702",11,0,2,"02",40000
"0084218","06704",23,0,1,"09",24100
"0084249","06705",24,0,4,"02",122400
"0084732","06704",21,0,5,"02",98000
"0085158","06705",29,0,2,"02",34000
"0085208","06704",29,0,1,"08",32000
"0085795","06705",11,0,3,"02",40430
"0085993","06704",20,0,0,"08",0
"0086468","06702",26,0,3,"05",76200
"0086575","06705",18,0,1,"08",23000
"0086702","06701",24,0,4,"06",53000
"0086815","06702",13,0,3,"02",82150
"0087048","06702",13,0,2,"08",25000
"0087124","06704",20,0,0,"02",0
"0087267","06704",13,0,1,"02",18300
"0087290","06703",18,0,3,"09",114300
"0087772","06703",24,0,2,"02",50000
"0087934","06701",24,0,3,"05",17700
"0088056","06701",21,0,3,"04",55120
"0088092","06703",21,0,1,"02",12000
"0088184","06705",29,0,2,"02",85000
"0088332","06703",21,0,1,"02",14600
"0088359","06704",19,0,2,"02",32400
"0088965","06704",0,1,1,"  ",0
"0089691","06705",24,0,2,"03",67010
"0089774","06705",16,0,1,"02",46100
"0089893","06701",27,0,2,"08",4500
"0089962","06705",13,0,3,"02",58000
"0090122","06701",21,0,2,"08",39720
"0090686","06705",16,0,1,"02",56000
"0091063","06703",21,0,2,"02",16500
"0091299","06703",16,0,1,"06",26100
"0091369","06704",0,2,1,"  ",0
"0091658","06705",18,0,1,"02",27800
"0091754","06702",18,0,4,"02",48500
"0091938","06703",24,0,1,"05",18400
"0092251","06705",42,0,3,"01",42610
"0092375","06703",13,0,2,"02",61000
"0092605","06702",24,0,2,"02",200500
"0092631","06701",0,2,1,"  ",0
"0092679","06701",0,2,1,"  ",0
"0092841","06704",24,0,5,"02",55200
"0092963","06702",15,0,4,"04",44900
"0093038","06701",17,0,0,"08",0
"0093226","06703",21,0,2,"03",79700
"0093325","06705",16,0,1,"02",10000
"0093434","06704",16,0,1,"02",25660
"0093560","06703",16,0,2,"01",43300
"0093578","06703",26,0,2,"02",82000
"0093656","06705",16,0,5,"03",79000
"0093784","06705",21,0,1,"02",42000
"0093843","06704",21,0,4,"02",68400
"0093923","06702",26,0,4,"02",60000
"0093941","06703",8,0,8,"02",60770
"0094119","06705",16,0,4,"02",150400
"0094421","06702",26,0,2,"02",95100
"0094541","06705",19,0,1,"02",50000
"0094664","06701",24,0,3,"02",7000
"0094729","06701",16,0,2,"02",1e+05
"0094738","06701",34,0,3,"06",38160
"0094889","06705",6,0,5,"02",50000
"0095013","06705",31,0,3,"03",28000
"0095104","06702",21,0,4,"02",15000
"0095644","06701",22,0,1,"09",10000
"0095760","06703",0,1,1,"  ",0
"0095862","06703",24,0,2,"06",74100
"0095930","06702",16,0,4,"06",67800
"0096343","06704",13,0,2,"02",44300
"0096469","06705",29,0,4,"07",62200
"0096486","06705",21,0,3,"02",80900
"0096709","06704",29,0,5,"02",146000
"0096990","06704",29,0,1,"06",50000
"0097063","06705",21,0,4,"02",79100
"0097110","06704",29,0,3,"02",556000
"0097247","06704",19,0,2,"02",32400
"0097430","06705",13,0,4,"09",48000
"0097665","06703",24,0,1,"02",22200
"0098336","06701",16,0,1,"04",27200
"0098712","06705",27,0,1,"07",39000
"0098804","06701",21,0,1,"08",13100
"0098932","06702",27,0,2,"03",18300
"0099204","06705",0,1,1,"  ",0
"0099409","06703",16,0,1,"02",15330
"0099517","06702",16,0,4,"02",71100
"0099757","06703",19,0,1,"09",8000
"0099759","06704",21,0,2,"02",20290
"0099771","06701",22,0,1,"05",49000
"0099835","06704",16,0,4,"02",87200
"0099964","06703",23,0,5,"02",56000
"0100038","06703",18,0,2,"01",33000
"0100193","06704",14,0,0,"09",0
"0100601","06705",23,0,3,"02",65800
"0100732","06703",13,0,1,"02",53400
"0100864","06703",21,0,3,"03",53140
"0101426","06703",18,0,3,"06",99280
"0101776","06705",21,0,2,"02",45000
"0101787","06702",26,0,4,"06",36800
"0101898","06705",16,0,2,"02",121050
"0101992","06705",0,1,1,"  ",0
"0102188","06704",21,0,1,"07",7000
"0102356","06705",13,0,2,"05",44100
"0102473","06703",18,0,3,"07",23600
"0102484","06703",10,0,3,"02",73700
"0102865","06702",16,0,3,"02",48500
"0102918","06705",24,0,1,"02",27500
"0102989","06703",16,0,4,"02",121000
"0103138","06703",21,0,2,"02",424000
"0103151","06705",0,2,1,"  ",0
"0103504","06701",18,0,4,"02",72600
"0103839","06705",18,0,0,"06",0
"0103884","06701",19,0,2,"06",10000
"0103965","06701",18,0,1,"01",0
"0103982","06701",16,0,2,"05",38200
"0104330","06704",11,0,1,"04",40000
"0104383","06704",13,0,2,"02",163800
"0104613","06702",15,0,3,"07",38000
"0104886","06705",18,0,2,"06",64230
"0104893","06703",13,0,3,"02",74000
"0104933","06703",13,0,5,"07",7500
"0105035","06701",21,0,3,"06",90000
"0105292","06701",26,0,2,"07",16000
"0105401","06703",8,0,1,"02",23800
"0105547","06705",22,0,1,"05",22000
"0105587","06703",24,0,7,"02",178910
"0105643","06704",24,0,1,"01",19500
"0105745","06704",26,0,2,"03",17000
"0105757","06703",24,0,3,"02",50000
"0105980","06704",23,0,0,"08",0
"0106000","06705",29,0,2,"02",37500
"0106568","06702",0,2,1,"  ",0
"0106719","06704",23,0,1,"07",42600
"0106757","06703",18,0,1,"04",8000
"0106994","06704",13,0,3,"02",335040
"0107123","06703",21,0,1,"01",15000
"0107456","06704",18,0,1,"02",26000
"0108144","06703",16,0,2,"03",70400
"0108207","06702",24,0,6,"02",56440
"0108249","06702",16,0,1,"07",8400
"0108613","06702",34,0,6,"03",38000
"0108624","06701",0,2,1,"  ",0
"0108667","06702",28,0,0,"08",0
"0108800","06703",0,1,1,"  ",0
"0109038","06704",22,0,3,"06",31200
"0109491","06704",21,0,1,"08",66000
"0109767","06701",11,0,2,"06",39000
"0109786","06704",18,0,4,"02",66000
"0110030","06702",19,0,2,"02",39700
"0110074","06705",21,0,2,"07",39000
"0110114","06701",21,0,2,"02",44900
"0110924","06704",10,0,7,"02",151000
"0111073","06702",43,0,5,"01",45000
"0111258","06704",19,0,1,"05",29500
"0111342","06704",23,0,1,"06",14050
"0111346","06702",24,0,2,"02",62490
"0111454","06703",19,0,2,"02",54000
"0111559","06704",16,0,4,"02",155504
"0111931","06704",16,0,3,"02",110850
"0111954","06701",8,0,4,"03",21800
"0112233","06704",18,0,4,"02",64000
"0112852","06705",13,0,2,"01",6500
"0113124","06705",21,0,2,"03",72000
"0113477","06704",27,0,1,"08",40000
"0114194","06705",21,0,2,"08",4700
"0114773","06702",16,0,4,"02",19000
"0114814","06705",0,2,1,"  ",0
"0115791","06704",16,0,1,"02",46170
"0116056","06702",21,0,2,"02",24500
"0116078","06705",24,0,2,"02",40000
"0116213","06702",14,0,2,"05",6500
"0116936","06701",29,0,2,"02",11700
"0117243","06702",8,0,8,"02",42600
"0117552","06703",29,0,6,"02",32000
"0117571","06701",21,0,2,"02",16400
"0117950","06703",21,0,3,"02",50000
"0117958","06702",13,0,8,"02",57500
"0118075","06705",43,0,3,"02",72400
"0118230","06704",24,0,1,"03",126000
"0118985","06703",18,0,4,"02",60800
"0119086","06704",13,0,2,"02",99900
"0119217","06703",12,0,0,"01",0
"0119297","06702",16,0,2,"02",54000
"0119348","06704",24,0,3,"02",333020
"0119611","06702",11,0,4,"02",69000
"0119614","06701",26,0,1,"05",5030
"0119736","06703",16,0,2,"02",32400
"0119801","06703",21,0,4,"02",52700
"0120448","06701",24,0,1,"03",37000
"0120763","06704",21,0,4,"02",335000
"0121197","06704",21,0,4,"02",65800
"0121331","06703",26,0,3,"02",15000
"0121608","06705",24,0,3,"02",73000
"0121707","06702",21,0,4,"03",85700
