"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0000054","06705",21,0,2,"03",39100
"0000096","06704",23,0,1,"07",68150
"0000370","06704",9,0,0,"02",0
"0000644","06705",21,0,2,"02",143500
"0000720","06703",0,2,1,"  ",0
"0000729","06704",16,0,2,"02",51800
"0000773","06702",16,0,6,"02",90000
"0000897","06702",18,0,3,"03",42100
"0001040","06703",18,0,1,"09",7800
"0001046","06702",18,0,3,"02",0
"0001074","06705",23,0,3,"02",340100
"0001220","06702",40,0,1,"02",45000
"0001325","06702",15,0,1,"02",7570
"0001496","06704",22,0,1,"06",56500
"0001930","06703",14,0,0,"06",0
"0002259","06705",5,0,1,"02",38500
"0002919","06702",19,0,2,"02",73700
"0002954","06704",16,0,4,"02",1e+05
"0003010","06701",0,2,1,"  ",0
"0003094","06702",21,0,3,"02",20000
"0003293","06702",16,0,4,"02",35300
"0003355","06702",21,0,4,"03",57000
"0003516","06704",27,0,3,"02",133000
"0003707","06705",0,2,1,"  ",0
"0003965","06705",21,0,2,"02",112150
"0004221","06702",13,0,6,"02",64960
"0004423","06703",24,0,2,"02",81000
"0004443","06703",14,0,7,"02",58000
"0004719","06704",0,2,1,"  ",0
"0004788","06705",24,0,1,"06",15000
"0004816","06705",18,0,4,"02",70040
"0004988","06705",16,0,5,"02",47500
"0005154","06705",24,0,2,"02",48000
"0005254","06703",0,1,1,"  ",0
"0005291","06702",8,0,3,"03",38700
"0005750","06703",16,0,1,"10",12000
"0005863","06705",19,0,1,"02",41800
"0006239","06702",27,0,4,"09",44670
"0006273","06704",16,0,4,"02",86500
"0006751","06701",31,0,2,"02",136900
"0006828","06701",16,0,1,"04",40400
"0006919","06704",21,0,2,"02",115000
"0007160","06705",26,0,4,"01",10000
"0007421","06701",16,0,2,"04",12000
"0007506","06701",0,2,1,"  ",0
"0007533","06705",26,0,3,"03",38000
"0007655","06702",13,0,4,"02",57000
"0007808","06704",21,0,4,"02",186000
"0007836","06704",24,0,1,"07",43000
"0008212","06705",19,0,1,"02",52000
"0008317","06704",19,0,3,"02",76960
"0008451","06702",16,0,4,"02",44000
"0008673","06705",40,0,3,"08",22000
"0008813","06702",15,0,4,"02",153900
"0008852","06705",24,0,4,"02",72300
"0009242","06702",29,0,1,"02",240
"0009317","06704",21,0,2,"03",288800
"0009377","06703",22,0,2,"02",247820
"0009403","06704",0,1,1,"  ",0
"0009423","06702",19,0,5,"08",13800
"0009648","06703",26,0,5,"02",33620
"0009779","06704",11,0,1,"06",25000
"0009889","06704",15,0,3,"02",95420
"0009927","06705",29,0,2,"02",63050
"0010012","06703",19,0,5,"02",85100
"0010071","06705",23,0,3,"06",40700
"0010205","06705",26,0,2,"02",38000
"0010478","06703",26,0,2,"09",33000
"0010575","06703",18,0,1,"02",43000
"0010720","06703",16,0,2,"02",95000
"0010968","06705",26,0,1,"04",9100
"0011016","06704",21,0,2,"09",77500
"0011187","06703",29,0,2,"02",69000
"0011407","06705",32,0,1,"05",2600
"0011451","06702",16,0,5,"02",102000
"0011503","06704",24,0,1,"03",33000
"0011625","06703",19,0,2,"02",98700
"0011644","06701",16,0,2,"02",61100
"0011733","06701",29,0,5,"06",53800
"0012148","06704",21,0,1,"08",99700
"0012346","06705",18,0,9,"02",39300
"0012401","06705",0,2,1,"  ",0
"0012827","06703",6,0,3,"02",32400
"0013108","06705",21,0,3,"02",18200
"0013465","06701",27,0,1,"06",37000
"0013501","06701",21,0,2,"08",13000
"0013611","06702",13,0,4,"02",66000
"0013720","06702",16,0,1,"01",97000
"0014039","06704",26,0,5,"02",111350
"0014073","06705",21,0,3,"03",28100
"0014160","06704",19,0,1,"02",60000
"0014165","06702",21,0,4,"02",143000
"0014353","06701",19,0,2,"02",78600
"0014961","06702",21,0,5,"08",50700
"0015485","06705",0,2,1,"  ",0
"0015489","06705",0,2,1,"  ",0
"0015531","06704",21,0,1,"02",30000
"0015636","06705",32,0,2,"01",22200
"0015939","06701",13,0,2,"07",24700
"0016031","06702",18,0,1,"08",23200
"0016090","06704",24,0,1,"07",50
"0016165","06704",23,0,2,"02",78080
"0016174","06704",24,0,1,"02",34200
"0016202","06703",16,0,2,"06",22700
"0016487","06704",23,0,0,"02",0
"0016673","06701",13,0,4,"03",74500
"0016776","06701",21,0,2,"05",2000
"0017137","06704",23,0,2,"02",24000
"0017154","06705",23,0,5,"02",144300
"0017540","06703",29,0,5,"02",70000
"0017748","06705",23,0,5,"02",71900
"0017768","06705",24,0,2,"01",21000
"0017997","06705",18,0,1,"02",47000
"0018004","06701",8,0,4,"02",28900
"0018303","06701",0,2,1,"  ",0
"0018438","06704",24,0,2,"03",62000
"0018525","06705",32,0,10,"09",43400
"0018629","06704",13,0,4,"02",33530
"0019625","06705",34,0,3,"02",87170
"0019800","06704",24,0,6,"02",1e+05
"0020136","06701",16,0,4,"03",24000
"0020358","06705",24,0,1,"02",156000
"0020487","06705",21,0,3,"02",120000
"0021025","06703",19,0,2,"02",12970
"0021128","06705",29,0,2,"09",49000
"0021169","06702",29,0,2,"02",251000
"0021177","06705",0,2,1,"  ",0
"0021410","06701",19,0,2,"02",64300
"0021702","06704",11,0,6,"02",44100
"0021817","06702",22,0,6,"02",80220
"0022040","06705",26,0,4,"06",17800
"0022179","06702",21,0,4,"09",10600
"0022196","06703",21,0,1,"01",0
"0022317","06702",24,0,5,"02",80000
"0022378","06701",0,2,1,"  ",0
"0022924","06701",23,0,4,"06",18660
"0022984","06702",18,0,4,"03",26200
"0023111","06703",11,0,2,"02",26000
"0023134","06704",0,2,1,"  ",0
"0023401","06701",26,0,1,"09",500
"0023661","06701",0,2,1,"  ",0
"0023732","06701",29,0,1,"08",15200
"0023829","06701",26,0,3,"02",150300
"0023894","06702",19,0,3,"02",23500
"0024797","06702",31,0,2,"02",77000
"0025070","06704",15,0,2,"02",100600
"0025227","06703",21,0,1,"02",85000
"0025501","06703",13,0,2,"06",47200
"0025507","06705",26,0,1,"02",24000
"0025626","06703",14,0,0,"02",0
"0025732","06703",14,0,4,"02",56500
"0025852","06701",0,2,1,"  ",0
"0025985","06704",29,0,3,"02",51300
"0026025","06705",13,0,1,"02",91000
"0026093","06704",23,0,4,"02",77000
"0026282","06703",24,0,1,"09",0
"0026445","06704",24,0,3,"02",134100
"0026597","06704",0,2,1,"  ",0
"0026598","06701",19,0,5,"02",83000
"0026678","06703",13,0,2,"09",14000
"0026754","06705",18,0,2,"02",43300
"0026980","06705",11,0,0,"02",0
"0027256","06704",23,0,2,"05",257200
"0027419","06705",11,0,0,"09",0
"0027811","06704",13,0,2,"02",474900
"0027856","06703",16,0,3,"03",49800
"0028240","06704",16,0,1,"05",46600
"0028547","06702",13,0,4,"02",93900
"0028969","06705",18,0,4,"07",25000
"0029072","06704",21,0,3,"02",107260
"0029107","06705",23,0,2,"04",54300
"0029156","06705",5,0,1,"01",35500
"0029515","06702",16,0,3,"02",21500
"0029518","06705",18,0,4,"09",16000
"0029590","06701",10,0,4,"09",62400
"0029628","06703",13,0,2,"02",83000
"0029845","06704",24,0,2,"03",35000
"0029913","06701",16,0,2,"02",49200
"0030041","06702",16,0,1,"08",60000
"0030106","06704",21,0,1,"02",151000
"0030255","06705",0,2,1,"  ",0
"0030685","06705",29,0,4,"02",74500
"0030779","06703",21,0,1,"10",14000
"0030896","06702",21,0,1,"01",47030
"0030953","06702",21,0,2,"01",45000
"0031259","06705",19,0,2,"03",17100
"0031768","06705",21,0,3,"05",46200
"0032116","06702",21,0,4,"02",104200
"0032302","06704",5,0,4,"02",99000
"0032392","06703",16,0,2,"03",28000
"0032401","06704",17,0,0,"08",0
"0032644","06704",17,0,0,"02",0
"0032756","06704",0,2,1,"  ",0
"0032876","06705",21,0,1,"02",71000
"0033077","06703",19,0,3,"02",96500
"0033229","06705",37,0,2,"02",100300
"0033317","06701",19,0,5,"07",45000
"0033516","06705",21,0,4,"02",93600
"0033611","06704",21,0,1,"03",300
"0033643","06702",16,0,2,"03",1e+05
"0033662","06704",29,0,1,"07",32000
"0034016","06702",13,0,4,"05",32000
"0034165","06704",19,0,3,"02",112000
"0034347","06704",0,2,1,"  ",0
"0034788","06705",21,0,1,"03",29900
"0034878","06705",21,0,2,"02",169400
"0035214","06705",21,0,2,"02",56200
"0035422","06703",21,0,4,"03",75400
"0035788","06701",24,0,3,"02",1e+05
"0035916","06702",29,0,3,"02",143000
"0035977","06705",14,0,2,"09",38100
"0036290","06702",5,0,4,"08",37400
"0036357","06705",24,0,2,"02",196000
"0036541","06705",21,0,2,"02",34700
"0036567","06702",18,0,1,"06",28400
"0036895","06703",14,0,2,"01",32870
"0037268","06704",13,0,1,"02",19500
"0037425","06705",21,0,2,"02",247900
"0037460","06704",21,0,2,"06",50500
"0037540","06704",23,0,2,"05",29800
"0037705","06705",13,0,5,"02",16000
"0037896","06702",24,0,2,"02",135000
"0038022","06702",11,0,3,"02",48100
"0038077","06704",23,0,7,"02",131600
"0038080","06703",24,0,4,"03",85000
"0038244","06701",0,2,1,"  ",0
"0038545","06701",27,0,3,"03",46370
"0038890","06703",0,1,1,"  ",0
"0038910","06705",24,0,1,"01",15000
"0039425","06704",0,2,1,"  ",0
"0039849","06705",32,0,1,"08",10500
"0039926","06702",37,0,5,"02",156000
"0040084","06702",24,0,7,"02",45300
"0040107","06705",32,0,1,"06",35500
"0040280","06705",18,0,2,"02",99400
"0040317","06702",16,0,2,"02",85900
"0040369","06703",15,0,1,"09",6000
"0040380","06705",15,0,2,"02",40400
"0040598","06704",19,0,1,"02",15900
"0040777","06701",26,0,2,"02",112000
"0040807","06701",0,2,1,"  ",0
"0040849","06704",24,0,2,"02",207800
"0040961","06705",0,2,1,"  ",0
"0041229","06704",23,0,2,"02",332640
"0041504","06704",24,0,3,"06",16000
"0041611","06705",13,0,5,"02",17000
"0041646","06701",27,0,1,"09",5300
"0041714","06704",21,0,6,"07",78300
"0041902","06704",29,0,4,"02",101000
"0041913","06703",29,0,5,"02",30000
"0042226","06705",18,0,1,"02",105600
"0042409","06702",19,0,2,"06",14500
"0042519","06704",19,0,3,"02",65000
"0042701","06702",11,0,1,"02",11700
"0042883","06703",29,0,5,"02",78980
"0043159","06704",19,0,1,"08",30000
"0043296","06704",24,0,1,"02",345000
"0043318","06703",29,0,3,"02",60000
"0043473","06705",21,0,1,"01",10100
"0043680","06703",31,0,3,"07",15000
"0043874","06704",24,0,2,"04",132320
"0043973","06703",11,0,1,"02",26000
"0043984","06701",21,0,2,"05",11600
"0044126","06703",24,0,2,"07",42000
"0044488","06704",16,0,3,"03",111000
"0044637","06703",27,0,4,"02",108200
"0045394","06704",16,0,1,"02",8400
"0045499","06703",22,0,5,"02",70404
"0045728","06705",26,0,4,"07",81000
"0045769","06705",21,0,4,"02",76700
"0046029","06701",21,0,2,"03",30300
"0046311","06705",21,0,3,"03",347000
"0046420","06703",23,0,2,"05",33500
"0046465","06701",27,0,4,"02",195000
"0046564","06705",16,0,4,"02",60500
"0046664","06703",21,0,2,"02",11600
"0046813","06701",0,2,1,"  ",0
"0046898","06704",21,0,2,"08",316100
"0046997","06705",24,0,1,"02",16000
"0047141","06702",19,0,3,"05",110000
"0047294","06704",15,0,2,"06",38200
"0047460","06703",24,0,5,"06",33200
"0047513","06705",29,0,0,"05",0
"0047523","06705",0,2,1,"  ",0
"0047638","06704",16,0,6,"02",51200
"0047779","06705",5,0,3,"01",82500
"0048036","06705",24,0,2,"01",24100
"0048205","06704",16,0,4,"02",122200
"0048258","06701",15,0,2,"05",37900
"0048280","06705",29,0,4,"02",89000
"0048417","06704",21,0,2,"02",136000
"0048735","06703",16,0,1,"07",15000
"0048828","06704",18,0,1,"02",13800
"0048934","06702",21,0,4,"03",26800
"0049096","06704",18,0,4,"02",103900
"0049255","06703",18,0,4,"02",101600
"0049375","06704",0,2,1,"  ",0
"0049952","06702",26,0,3,"02",29000
"0050076","06701",13,0,4,"09",31000
"0050487","06705",13,0,2,"02",41000
"0050764","06701",26,0,2,"02",33300
"0050885","06704",0,1,1,"  ",0
"0051057","06704",26,0,4,"02",72700
"0051329","06704",21,0,1,"09",50000
"0051337","06704",0,2,1,"  ",0
"0051434","06705",0,2,1,"  ",0
"0051642","06704",16,0,1,"03",197000
"0051689","06702",13,0,2,"06",11800
"0051861","06703",22,0,1,"08",24004
"0052056","06704",21,0,2,"03",145000
"0052418","06705",0,1,1,"  ",0
"0052443","06702",29,0,4,"06",45000
"0052735","06705",26,0,4,"02",58500
"0053003","06705",19,0,2,"04",18000
"0053016","06703",19,0,3,"08",63700
"0053133","06701",0,2,1,"  ",0
"0053265","06703",29,0,2,"01",8000
"0053457","06705",19,0,3,"02",69000
"0053770","06701",29,0,2,"03",24000
"0053851","06704",19,0,2,"02",132600
"0053878","06702",21,0,2,"05",42000
"0054330","06705",23,0,1,"09",127000
"0054534","06705",27,0,3,"01",28800
"0054605","06702",19,0,3,"06",80000
"0054759","06705",18,0,3,"02",365150
"0054796","06701",15,0,2,"02",119000
"0055052","06705",21,0,1,"03",9400
"0055082","06705",21,0,8,"02",59000
"0056121","06701",27,0,1,"06",17000
"0056166","06705",26,0,2,"02",50200
"0056191","06703",19,0,1,"09",11000
"0056334","06703",24,0,1,"08",50000
"0056440","06702",0,2,1,"  ",0
"0056470","06704",24,0,2,"02",63000
"0056574","06701",28,0,1,"01",32000
"0056675","06704",27,0,5,"02",81000
"0056717","06703",8,0,1,"01",4500
"0056745","06702",16,0,2,"10",70450
"0056754","06705",19,0,3,"02",113720
"0056779","06704",29,0,2,"02",344000
"0056810","06705",21,0,2,"02",133400
"0056892","06705",21,0,1,"02",32010
"0057067","06703",24,0,1,"01",10400
"0057181","06705",21,0,2,"03",49250
"0057482","06703",16,0,3,"02",41800
"0057565","06705",16,0,5,"02",22000
"0058497","06704",0,2,1,"  ",0
"0058512","06701",16,0,1,"02",26500
"0058605","06705",6,0,6,"01",70000
"0058751","06702",24,0,6,"06",570
"0058779","06701",13,0,2,"06",14400
"0059055","06704",20,0,0,"02",0
"0059321","06702",16,0,1,"02",21000
"0059323","06702",16,0,2,"02",34700
"0059584","06702",13,0,1,"01",11470
"0059714","06704",26,0,5,"02",92000
"0059975","06705",13,0,4,"02",92000
"0060258","06705",15,0,1,"01",8100
"0060334","06705",21,0,3,"02",107400
"0060483","06705",15,0,1,"02",16000
"0060649","06705",0,2,1,"  ",0
"0060825","06705",26,0,1,"02",32500
"0060839","06704",18,0,2,"02",36210
"0060997","06701",16,0,5,"03",18400
"0061060","06704",21,0,5,"02",274100
"0061205","06705",24,0,2,"02",14000
"0061524","06705",21,0,3,"03",62000
"0061575","06705",32,0,4,"03",36660
"0061889","06705",26,0,2,"02",190700
