MGRA,Area_Type,Area_Type_Num,EC_Tier,EC_Name,Loc_Type,HBHUR
1,Urban,5,NULL,NULL,Urban,U
2,Urban,5,NULL,NULL,Urban,U
3,Urban,5,NULL,NULL,Urban,U
4,Urban,5,NULL,NULL,Urban,U
5,Urban,5,NULL,NULL,Urban,U
6,Urban,5,NULL,NULL,Urban,U
7,Urban,5,NULL,NULL,Urban,U
8,Urban,5,NULL,NULL,Urban,U
9,Urban,5,NULL,NULL,Urban,U
10,Urban,5,NULL,NULL,Urban,U
11,Urban,5,NULL,NULL,Urban,U
12,Urban,5,NULL,NULL,Urban,U
13,Urban,5,2,Hillcrest,Urban,U
14,Urban,5,NULL,NULL,Urban,U
15,Urban,5,2,Hillcrest,Urban,U
16,Urban,5,NULL,NULL,Urban,U
17,Urban,5,NULL,NULL,Urban,U
18,Urban,5,2,Ocean Beach,Urban,U
19,Urban,5,2,Ocean Beach,Urban,U
20,Urban,5,2,Ocean Beach,Urban,U
21,Urban,5,NULL,NULL,Urban,U
22,Urban,5,NULL,NULL,Urban,U
23,Urban,5,NULL,NULL,Urban,U
24,Urban,5,NULL,NULL,Urban,U
25,Urban,5,NULL,NULL,Urban,U
26,Urban,5,NULL,NULL,Urban,U
27,Urban,5,NULL,NULL,Urban,U
28,Urban,5,NULL,NULL,Urban,U
29,Urban,5,NULL,NULL,Urban,U
30,Urban,5,NULL,NULL,Urban,U
31,Urban,5,NULL,NULL,Urban,U
32,Urban,5,NULL,NULL,Urban,U
33,Urban,5,NULL,NULL,Urban,U
34,Urban,5,NULL,NULL,Urban,U
35,Urban,5,NULL,NULL,Urban,U
36,Urban,5,NULL,NULL,Urban,U
37,Urban,5,NULL,NULL,Urban,U
38,Urban,5,NULL,NULL,Urban,U
39,Urban,5,NULL,NULL,Urban,U
40,Urban,5,NULL,NULL,Urban,U
41,Urban,5,NULL,NULL,Urban,U
42,Urban,5,NULL,NULL,Urban,U
43,Urban,5,NULL,NULL,Urban,U
44,Urban,5,NULL,NULL,Urban,U
45,Urban,5,NULL,NULL,Urban,U
46,Urban,5,NULL,NULL,Urban,U
47,Urban,5,NULL,NULL,Urban,U
48,Urban,5,NULL,NULL,Urban,U
49,Urban,5,NULL,NULL,Urban,U
50,Urban,5,NULL,NULL,Urban,U
51,Urban,5,NULL,NULL,Urban,U
52,Urban,5,NULL,NULL,Urban,U
53,Urban,5,NULL,NULL,Urban,U
54,Urban,5,NULL,NULL,Urban,U
55,Urban,5,NULL,NULL,Urban,U
56,Urban,5,NULL,NULL,Urban,U
57,Urban,5,NULL,NULL,Urban,U
58,Urban,5,NULL,NULL,Urban,U
59,Urban,5,NULL,NULL,Urban,U
60,Urban,5,NULL,NULL,Urban,U
61,Urban,5,NULL,NULL,Urban,U
62,Urban,5,NULL,NULL,Urban,U
63,Urban,5,NULL,NULL,Urban,U
64,Urban,5,NULL,NULL,Urban,U
65,Urban,5,NULL,NULL,Urban,U
66,Urban,5,NULL,NULL,Urban,U
67,Urban,5,2,Hillcrest,Urban,U
68,Urban,5,2,Hillcrest,Urban,U
69,Urban,5,2,Hillcrest,Urban,U
70,Urban,5,2,Hillcrest,Urban,U
71,Urban,5,2,Hillcrest,Urban,U
72,Urban,5,2,Hillcrest,Urban,U
73,Urban,5,2,Hillcrest,Urban,U
74,Urban,5,2,Hillcrest,Urban,U
75,Urban,5,2,Hillcrest,Urban,U
76,Urban,5,2,Hillcrest,Urban,U
77,Urban,5,2,Hillcrest,Urban,U
78,Urban,5,2,Hillcrest,Urban,U
79,Urban,5,2,Hillcrest,Urban,U
80,Urban,5,2,Hillcrest,Urban,U
81,Urban,5,2,Hillcrest,Urban,U
82,Urban,5,2,Hillcrest,Urban,U
83,Urban,5,2,Hillcrest,Urban,U
84,Urban,5,2,Hillcrest,Urban,U
85,Urban,5,2,Hillcrest,Urban,U
86,Urban,5,2,Hillcrest,Urban,U
87,Urban,5,2,Hillcrest,Urban,U
88,Urban,5,2,Hillcrest,Urban,U
89,Urban,5,2,Hillcrest,Urban,U
90,Urban,5,2,Hillcrest,Urban,U
91,Urban,5,2,Hillcrest,Urban,U
92,Urban,5,2,Hillcrest,Urban,U
93,Urban,5,2,Hillcrest,Urban,U
94,Urban,5,2,Hillcrest,Urban,U
95,Urban,5,2,Hillcrest,Urban,U
96,Urban,5,2,Hillcrest,Urban,U
97,Urban,5,2,Hillcrest,Urban,U
98,Urban,5,2,Hillcrest,Urban,U
99,Urban,5,NULL,NULL,Urban,U
100,Urban,5,NULL,NULL,Urban,U
101,Urban,5,NULL,NULL,Urban,U
102,Urban,5,NULL,NULL,Urban,U
103,Urban,5,3,San Diego Airport,Urban,U
104,Urban,5,NULL,NULL,Urban,U
105,Urban,5,3,San Diego Airport,Urban,U
106,Urban,5,3,San Diego Airport,Urban,U
107,Urban,5,NULL,NULL,Urban,U
108,Urban,5,3,San Diego Airport,Urban,U
109,Urban,5,3,San Diego Airport,Urban,U
110,Urban,5,NULL,NULL,Urban,U
111,Urban,5,NULL,NULL,Urban,U
112,Urban,5,2,Hillcrest,Urban,U
113,Urban,5,2,Hillcrest,Urban,U
114,Urban,5,NULL,NULL,Urban,U
115,Urban,5,NULL,NULL,Urban,U
116,Urban,5,NULL,NULL,Urban,U
117,Urban,5,NULL,NULL,Urban,U
118,Urban,5,NULL,NULL,Urban,U
119,Urban,5,NULL,NULL,Urban,U
120,Urban,5,2,Hillcrest,Urban,U
121,Urban,5,2,Hillcrest,Urban,U
122,Urban,5,2,Hillcrest,Urban,U
123,Urban,5,2,Hillcrest,Urban,U
124,Urban,5,2,Hillcrest,Urban,U
125,Urban,5,2,Hillcrest,Urban,U
126,Urban,5,2,Hillcrest,Urban,U
127,Urban,5,2,Hillcrest,Urban,U
128,Urban,5,2,Hillcrest,Urban,U
129,Urban,5,2,Hillcrest,Urban,U
130,Urban,5,NULL,NULL,Urban,U
131,Urban,5,2,Hillcrest,Urban,U
132,Urban,5,NULL,NULL,Urban,U
133,Urban,5,2,Hillcrest,Urban,U
134,Urban,5,2,Hillcrest,Urban,U
135,Urban,5,2,Hillcrest,Urban,U
136,Urban,5,2,Hillcrest,Urban,U
137,Urban,5,2,Hillcrest,Urban,U
138,Urban,5,2,Hillcrest,Urban,U
139,Urban,5,2,Hillcrest,Urban,U
140,Urban,5,NULL,NULL,Urban,U
141,Urban,5,2,Hillcrest,Urban,U
142,Urban,5,NULL,NULL,Urban,U
143,Urban,5,2,Hillcrest,Urban,U
144,Urban,5,2,Hillcrest,Urban,U
145,Urban,5,2,Hillcrest,Urban,U
146,Urban,5,2,Hillcrest,Urban,U
147,Urban,5,2,Hillcrest,Urban,U
148,Urban,5,2,Hillcrest,Urban,U
149,Urban,5,2,Hillcrest,Urban,U
150,Urban,5,2,Hillcrest,Urban,U
151,Urban,5,2,Hillcrest,Urban,U
152,Urban,5,2,Hillcrest,Urban,U
153,Urban,5,2,Hillcrest,Urban,U
154,Urban,5,2,Hillcrest,Urban,U
155,Urban,5,2,Hillcrest,Urban,U
156,Urban,5,2,Hillcrest,Urban,U
157,Urban,5,2,Hillcrest,Urban,U
158,Urban,5,2,Hillcrest,Urban,U
159,Urban,5,2,Hillcrest,Urban,U
