MGRA,Area_Type,Area_Type_Num,EC_Tier,EC_Name,Loc_Type,HBHUR
160,Urban,5,2,Hillcrest,Urban,U
161,Urban,5,2,Hillcrest,Urban,U
162,Urban,5,2,Hillcrest,Urban,U
163,Urban,5,2,Hillcrest,Urban,U
164,Urban,5,2,Hillcrest,Urban,U
165,Urban,5,2,Hillcrest,Urban,U
166,Urban,5,2,Hillcrest,Urban,U
167,Urban,5,2,Hillcrest,Urban,U
168,Urban,5,2,Hillcrest,Urban,U
169,Urban,5,2,Hillcrest,Urban,U
170,Urban,5,2,Hillcrest,Urban,U
171,Urban,5,2,Hillcrest,Urban,U
172,Urban,5,2,Hillcrest,Urban,U
173,Urban,5,2,Hillcrest,Urban,U
174,Urban,5,2,Hillcrest,Urban,U
175,Urban,5,2,Hillcrest,Urban,U
176,Urban,5,2,Hillcrest,Urban,U
177,National / State / Regional Park,10,2,Hillcrest,Rural,R
178,Urban,5,2,Hillcrest,Urban,U
179,Urban,5,2,Hillcrest,Urban,U
180,Urban,5,2,Hillcrest,Urban,U
181,Urban,5,2,Hillcrest,Urban,U
182,Urban,5,2,Hillcrest,Urban,U
183,Urban,5,2,Hillcrest,Urban,U
184,Urban,5,2,Hillcrest,Urban,U
185,Urban,5,2,Hillcrest,Urban,U
186,Urban,5,2,Hillcrest,Urban,U
187,Urban,5,2,Hillcrest,Urban,U
188,Urban,5,2,Hillcrest,Urban,U
189,Urban,5,2,Hillcrest,Urban,U
190,Urban,5,2,Hillcrest,Urban,U
191,Urban,5,2,Hillcrest,Urban,U
192,Urban,5,2,Hillcrest,Urban,U
193,Urban,5,2,Hillcrest,Urban,U
194,Urban,5,2,Hillcrest,Urban,U
195,Urban,5,2,Hillcrest,Urban,U
196,Urban,5,2,Hillcrest,Urban,U
197,Urban,5,2,Hillcrest,Urban,U
198,Urban,5,2,Hillcrest,Urban,U
199,Urban,5,2,Hillcrest,Urban,U
200,Urban,5,2,Hillcrest,Urban,U
201,Urban,5,2,Hillcrest,Urban,U
202,Urban,5,2,Hillcrest,Urban,U
203,Urban,5,2,Hillcrest,Urban,U
204,Urban,5,2,Hillcrest,Urban,U
205,Urban,5,2,Hillcrest,Urban,U
206,Urban,5,2,Hillcrest,Urban,U
207,Urban,5,2,Hillcrest,Urban,U
208,Urban,5,2,Hillcrest,Urban,U
209,Urban,5,2,Hillcrest,Urban,U
210,Urban,5,2,Hillcrest,Urban,U
211,Urban,5,2,Hillcrest,Urban,U
212,Urban,5,2,Hillcrest,Urban,U
213,Urban,5,2,Hillcrest,Urban,U
214,Urban,5,2,Hillcrest,Urban,U
215,Urban,5,2,Hillcrest,Urban,U
216,Urban,5,2,Hillcrest,Urban,U
217,Urban,5,2,Hillcrest,Urban,U
218,Urban,5,2,Mission Valley,Urban,U
219,Urban,5,2,Hillcrest,Urban,U
220,Urban,5,2,Hillcrest,Urban,U
221,Urban,5,2,Hillcrest,Urban,U
222,Urban,5,2,Hillcrest,Urban,U
223,Urban,5,2,Hillcrest,Urban,U
224,Urban,5,2,Hillcrest,Urban,U
225,Urban,5,2,Hillcrest,Urban,U
226,Urban,5,2,Hillcrest,Urban,U
227,Urban,5,2,Hillcrest,Urban,U
228,Urban,5,2,Hillcrest,Urban,U
229,Urban,5,2,Hillcrest,Urban,U
230,Urban,5,2,Hillcrest,Urban,U
231,Urban,5,2,Hillcrest,Urban,U
232,Second City,4,NULL,NULL,Urban,C
233,Second City,4,NULL,NULL,Urban,C
234,Second City,4,NULL,NULL,Urban,C
235,Second City,4,NULL,NULL,Urban,C
236,Second City,4,4,University Heights,Urban,C
237,Second City,4,NULL,NULL,Urban,C
238,Second City,4,NULL,NULL,Urban,C
239,Second City,4,NULL,NULL,Urban,C
240,Second City,4,NULL,NULL,Urban,C
241,Second City,4,NULL,NULL,Urban,C
242,Second City,4,NULL,NULL,Urban,C
243,Second City,4,4,University Heights,Urban,C
244,Urban,5,NULL,NULL,Urban,U
245,Second City,4,NULL,NULL,Urban,C
246,Urban,5,NULL,NULL,Urban,U
247,Second City,4,NULL,NULL,Urban,C
248,Urban,5,NULL,NULL,Urban,U
249,Urban,5,NULL,NULL,Urban,U
250,Urban,5,4,University Heights,Urban,U
251,Urban,5,4,University Heights,Urban,U
252,Urban,5,4,University Heights,Urban,U
253,Urban,5,NULL,NULL,Urban,U
254,Urban,5,NULL,NULL,Urban,U
255,Urban,5,NULL,NULL,Urban,U
256,Urban,5,NULL,NULL,Urban,U
257,Urban,5,NULL,NULL,Urban,U
258,Urban,5,NULL,NULL,Urban,U
259,Second City,4,NULL,NULL,Urban,C
260,Urban,5,NULL,NULL,Urban,U
261,Urban,5,NULL,NULL,Urban,U
262,Urban,5,NULL,NULL,Urban,U
263,Urban,5,NULL,NULL,Urban,U
264,Urban,5,NULL,NULL,Urban,U
265,Urban,5,4,University Heights,Urban,U
266,Urban,5,2,Hillcrest,Urban,U
267,Urban,5,2,Hillcrest,Urban,U
268,Urban,5,2,Hillcrest,Urban,U
269,Urban,5,2,Hillcrest,Urban,U
270,Urban,5,2,Hillcrest,Urban,U
271,Urban,5,2,Hillcrest,Urban,U
272,Urban,5,2,Hillcrest,Urban,U
273,Urban,5,2,Hillcrest,Urban,U
274,Urban,5,2,Hillcrest,Urban,U
275,Urban,5,2,Hillcrest,Urban,U
276,Urban,5,2,Hillcrest,Urban,U
277,Urban,5,2,Hillcrest,Urban,U
278,Urban,5,2,Hillcrest,Urban,U
279,Urban,5,2,Hillcrest,Urban,U
280,Urban,5,2,Hillcrest,Urban,U
281,Urban,5,2,Hillcrest,Urban,U
282,Urban,5,2,Hillcrest,Urban,U
283,Urban,5,2,Hillcrest,Urban,U
284,National / State / Regional Park,10,2,Hillcrest,Rural,R
285,Urban,5,2,Hillcrest,Urban,U
286,Urban,5,2,Hillcrest,Urban,U
287,Urban,5,2,Hillcrest,Urban,U
288,Urban,5,2,Hillcrest,Urban,U
289,Urban,5,2,Hillcrest,Urban,U
290,Urban,5,2,Hillcrest,Urban,U
291,Urban,5,2,Hillcrest,Urban,U
292,Urban,5,2,Hillcrest,Urban,U
293,Urban,5,2,Hillcrest,Urban,U
294,Urban,5,2,Hillcrest,Urban,U
295,Urban,5,2,Hillcrest,Urban,U
296,Urban,5,2,Hillcrest,Urban,U
297,Urban,5,2,Hillcrest,Urban,U
298,Urban,5,2,Hillcrest,Urban,U
299,Urban,5,2,Hillcrest,Urban,U
300,Urban,5,4,University Heights,Urban,U
301,Urban,5,4,University Heights,Urban,U
302,Urban,5,4,University Heights,Urban,U
303,Urban,5,NULL,NULL,Urban,U
304,Urban,5,NULL,NULL,Urban,U
305,Urban,5,4,University Heights,Urban,U
306,Urban,5,NULL,NULL,Urban,U
307,Urban,5,NULL,NULL,Urban,U
308,Urban,5,NULL,NULL,Urban,U
309,Urban,5,NULL,NULL,Urban,U
310,Urban,5,2,Hillcrest,Urban,U
311,Urban,5,2,Hillcrest,Urban,U
312,Urban,5,NULL,NULL,Urban,U
313,Urban,5,NULL,NULL,Urban,U
314,Urban,5,NULL,NULL,Urban,U
315,Urban,5,NULL,NULL,Urban,U
316,Urban,5,2,Hillcrest,Urban,U
317,Urban,5,2,Hillcrest,Urban,U
318,Urban,5,NULL,NULL,Urban,U
319,Urban,5,4,University Heights,Urban,U
320,Urban,5,NULL,NULL,Urban,U
321,Urban,5,4,University Heights,Urban,U
322,Urban,5,4,University Heights,Urban,U
323,Urban,5,4,University Heights,Urban,U
324,Urban,5,4,University Heights,Urban,U
325,Urban,5,4,University Heights,Urban,U
326,Urban,5,4,University Heights,Urban,U
327,Urban,5,4,University Heights,Urban,U
328,Urban,5,4,University Heights,Urban,U
329,Urban,5,4,University Heights,Urban,U
330,Urban,5,4,University Heights,Urban,U
331,Urban,5,4,University Heights,Urban,U
332,Urban,5,4,University Heights,Urban,U
333,Urban,5,4,University Heights,Urban,U
334,Urban,5,4,University Heights,Urban,U
335,Urban,5,4,University Heights,Urban,U
336,Urban,5,2,Hillcrest,Urban,U
337,Urban,5,4,University Heights,Urban,U
338,Urban,5,4,University Heights,Urban,U
339,Urban,5,4,University Heights,Urban,U
340,Urban,5,4,University Heights,Urban,U
341,Urban,5,4,University Heights,Urban,U
342,Urban,5,4,University Heights,Urban,U
343,Urban,5,4,University Heights,Urban,U
344,Urban,5,4,University Heights,Urban,U
345,Urban,5,4,University Heights,Urban,U
346,Urban,5,4,University Heights,Urban,U
347,Urban,5,4,University Heights,Urban,U
348,Second City,4,NULL,NULL,Urban,C
349,Second City,4,4,University Heights,Urban,C
350,Second City,4,4,University Heights,Urban,C
351,Second City,4,4,University Heights,Urban,C
352,Second City,4,4,University Heights,Urban,C
353,Second City,4,4,University Heights,Urban,C
354,Second City,4,4,University Heights,Urban,C
355,Second City,4,4,University Heights,Urban,C
356,Second City,4,4,University Heights,Urban,C
357,Urban,5,4,University Heights,Urban,U
358,Urban,5,4,University Heights,Urban,U
359,Urban,5,4,University Heights,Urban,U
360,Urban,5,4,University Heights,Urban,U
361,Urban,5,4,University Heights,Urban,U
362,Urban,5,4,University Heights,Urban,U
363,Urban,5,4,University Heights,Urban,U
364,Urban,5,4,University Heights,Urban,U
365,Urban,5,4,University Heights,Urban,U
366,Urban,5,4,University Heights,Urban,U
367,Second City,4,NULL,NULL,Urban,C
368,Second City,4,NULL,NULL,Urban,C
369,Second City,4,NULL,NULL,Urban,C
370,Second City,4,NULL,NULL,Urban,C
371,Second City,4,4,University Heights,Urban,C
372,Second City,4,4,University Heights,Urban,C
373,Second City,4,4,University Heights,Urban,C
374,Second City,4,4,University Heights,Urban,C
375,Second City,4,4,University Heights,Urban,C
376,Second City,4,4,University Heights,Urban,C
377,Second City,4,4,University Heights,Urban,C
378,Second City,4,4,University Heights,Urban,C
379,Second City,4,4,University Heights,Urban,C
380,Second City,4,4,University Heights,Urban,C
381,Second City,4,NULL,NULL,Urban,C
382,Second City,4,4,University Heights,Urban,C
383,Urban,5,4,University Heights,Urban,U
384,Urban,5,4,University Heights,Urban,U
385,Urban,5,4,University Heights,Urban,U
386,Urban,5,4,University Heights,Urban,U
387,Urban,5,4,University Heights,Urban,U
388,Urban,5,4,University Heights,Urban,U
389,Urban,5,4,University Heights,Urban,U
390,Urban,5,4,University Heights,Urban,U
391,Urban,5,4,University Heights,Urban,U
392,Urban,5,4,University Heights,Urban,U
393,Urban,5,4,University Heights,Urban,U
394,Urban,5,4,University Heights,Urban,U
395,Urban,5,4,University Heights,Urban,U
396,Urban,5,4,University Heights,Urban,U
397,Urban,5,4,University Heights,Urban,U
398,Urban,5,4,University Heights,Urban,U
399,Urban,5,4,University Heights,Urban,U
400,Urban,5,4,University Heights,Urban,U
401,Urban,5,4,University Heights,Urban,U
402,Urban,5,4,University Heights,Urban,U
403,Urban,5,4,University Heights,Urban,U
404,Urban,5,4,University Heights,Urban,U
405,Urban,5,4,University Heights,Urban,U
406,Urban,5,4,University Heights,Urban,U
407,Urban,5,4,University Heights,Urban,U
408,Urban,5,4,University Heights,Urban,U
409,Urban,5,4,University Heights,Urban,U
410,Urban,5,4,University Heights,Urban,U
411,Urban,5,4,University Heights,Urban,U
412,Urban,5,4,University Heights,Urban,U
413,Urban,5,4,University Heights,Urban,U
414,Urban,5,4,University Heights,Urban,U
415,Urban,5,4,University Heights,Urban,U
416,Urban,5,4,University Heights,Urban,U
417,Urban,5,4,University Heights,Urban,U
418,Urban,5,4,University Heights,Urban,U
419,Urban,5,4,University Heights,Urban,U
420,Urban,5,4,University Heights,Urban,U
421,Urban,5,4,University Heights,Urban,U
422,Urban,5,4,University Heights,Urban,U
423,Urban,5,4,University Heights,Urban,U
424,Urban,5,4,University Heights,Urban,U
425,Urban,5,4,University Heights,Urban,U
426,Urban,5,4,University Heights,Urban,U
427,Urban,5,4,University Heights,Urban,U
428,Urban,5,4,University Heights,Urban,U
429,Urban,5,4,University Heights,Urban,U
430,Urban,5,4,University Heights,Urban,U
431,Urban,5,4,University Heights,Urban,U
432,Urban,5,4,University Heights,Urban,U
433,Urban,5,4,University Heights,Urban,U
434,Urban,5,4,University Heights,Urban,U
435,Urban,5,4,University Heights,Urban,U
436,Urban,5,4,University Heights,Urban,U
437,Urban,5,4,University Heights,Urban,U
438,Urban,5,4,University Heights,Urban,U
439,Urban,5,4,University Heights,Urban,U
440,Urban,5,4,University Heights,Urban,U
441,Urban,5,4,University Heights,Urban,U
442,Urban,5,4,University Heights,Urban,U
443,Urban,5,4,University Heights,Urban,U
444,Urban,5,NULL,NULL,Urban,U
445,Urban,5,4,University Heights,Urban,U
446,Urban,5,4,University Heights,Urban,U
447,Urban,5,NULL,NULL,Urban,U
448,Urban,5,4,University Heights,Urban,U
449,Urban,5,NULL,NULL,Urban,U
450,Urban,5,NULL,NULL,Urban,U
451,Urban,5,NULL,NULL,Urban,U
452,Urban,5,NULL,NULL,Urban,U
453,Urban,5,4,University Heights,Urban,U
454,Urban,5,4,University Heights,Urban,U
455,Urban,5,4,University Heights,Urban,U
456,Urban,5,4,University Heights,Urban,U
457,Urban,5,4,University Heights,Urban,U
458,Urban,5,4,University Heights,Urban,U
459,Urban,5,NULL,NULL,Urban,U
460,Urban,5,NULL,NULL,Urban,U
461,Urban,5,NULL,NULL,Urban,U
462,Urban,5,NULL,NULL,Urban,U
463,Urban,5,NULL,NULL,Urban,U
464,Urban,5,NULL,NULL,Urban,U
465,Urban,5,NULL,NULL,Urban,U
466,Urban,5,4,University Heights,Urban,U
467,Urban,5,NULL,NULL,Urban,U
468,Urban,5,NULL,NULL,Urban,U
469,Urban,5,NULL,NULL,Urban,U
470,Urban,5,NULL,NULL,Urban,U
471,Urban,5,NULL,NULL,Urban,U
472,Urban,5,NULL,NULL,Urban,U
473,Urban,5,NULL,NULL,Urban,U
474,Urban,5,NULL,NULL,Urban,U
475,Urban,5,NULL,NULL,Urban,U
476,Urban,5,NULL,NULL,Urban,U
477,Urban,5,NULL,NULL,Urban,U
478,Urban,5,NULL,NULL,Urban,U
479,Urban,5,NULL,NULL,Urban,U
480,Urban,5,NULL,NULL,Urban,U
481,Urban,5,NULL,NULL,Urban,U
482,Urban,5,NULL,NULL,Urban,U
483,Urban,5,NULL,NULL,Urban,U
484,Urban,5,NULL,NULL,Urban,U
485,Urban,5,NULL,NULL,Urban,U
486,Urban,5,4,University Heights,Urban,U
487,Urban,5,4,University Heights,Urban,U
488,Urban,5,NULL,NULL,Urban,U
489,Urban,5,NULL,NULL,Urban,U
490,Urban,5,NULL,NULL,Urban,U
491,Urban,5,NULL,NULL,Urban,U
492,Urban,5,4,Normal Heights,Urban,U
493,Urban,5,4,Normal Heights,Urban,U
494,Urban,5,4,Normal Heights,Urban,U
495,Urban,5,4,Normal Heights,Urban,U
496,Urban,5,4,Normal Heights,Urban,U
497,Urban,5,4,Normal Heights,Urban,U
498,Urban,5,4,Normal Heights,Urban,U
499,Urban,5,4,Normal Heights,Urban,U
500,Urban,5,4,Normal Heights,Urban,U
501,Urban,5,4,Normal Heights,Urban,U
502,Urban,5,4,Normal Heights,Urban,U
503,Urban,5,4,Normal Heights,Urban,U
504,Urban,5,4,Normal Heights,Urban,U
505,Urban,5,4,Normal Heights,Urban,U
506,Urban,5,4,Normal Heights,Urban,U
507,Urban,5,4,Normal Heights,Urban,U
508,Urban,5,4,Normal Heights,Urban,U
509,Urban,5,4,Normal Heights,Urban,U
510,Urban,5,4,Normal Heights,Urban,U
511,Urban,5,4,Normal Heights,Urban,U
512,Urban,5,4,Normal Heights,Urban,U
513,Urban,5,4,University Heights,Urban,U
514,Urban,5,4,University Heights,Urban,U
515,Urban,5,4,University Heights,Urban,U
516,Urban,5,4,University Heights,Urban,U
517,Urban,5,4,University Heights,Urban,U
518,Urban,5,4,University Heights,Urban,U
519,Urban,5,4,Normal Heights,Urban,U
520,Urban,5,4,Normal Heights,Urban,U
521,Second City,4,4,Normal Heights,Urban,C
522,Second City,4,4,Normal Heights,Urban,C
523,Second City,4,4,Normal Heights,Urban,C
524,Urban,5,4,Normal Heights,Urban,U
525,Urban,5,4,Normal Heights,Urban,U
526,Urban,5,4,Normal Heights,Urban,U
527,Urban,5,4,Normal Heights,Urban,U
528,Second City,4,4,Normal Heights,Urban,C
529,Second City,4,4,Normal Heights,Urban,C
530,Second City,4,4,Normal Heights,Urban,C
531,Second City,4,4,Normal Heights,Urban,C
532,Urban,5,4,Normal Heights,Urban,U
533,Urban,5,4,Normal Heights,Urban,U
534,Urban,5,4,Normal Heights,Urban,U
535,Urban,5,4,Normal Heights,Urban,U
536,Urban,5,4,Normal Heights,Urban,U
537,Second City,4,4,Normal Heights,Urban,C
538,Second City,4,4,Normal Heights,Urban,C
539,Second City,4,4,Normal Heights,Urban,C
540,Second City,4,4,Normal Heights,Urban,C
541,Second City,4,4,Normal Heights,Urban,C
542,Second City,4,4,Normal Heights,Urban,C
543,Second City,4,4,Normal Heights,Urban,C
544,Second City,4,4,Normal Heights,Urban,C
545,Second City,4,4,Normal Heights,Urban,C
546,Second City,4,4,Normal Heights,Urban,C
547,Second City,4,4,Normal Heights,Urban,C
548,Second City,4,4,Normal Heights,Urban,C
549,Second City,4,4,Normal Heights,Urban,C
550,Second City,4,4,Normal Heights,Urban,C
551,Second City,4,4,Normal Heights,Urban,C
552,Second City,4,4,Normal Heights,Urban,C
553,Second City,4,4,Normal Heights,Urban,C
554,Second City,4,4,Normal Heights,Urban,C
555,Second City,4,4,Normal Heights,Urban,C
556,Second City,4,4,Normal Heights,Urban,C
557,Second City,4,4,Normal Heights,Urban,C
558,Second City,4,4,Normal Heights,Urban,C
559,Second City,4,4,Normal Heights,Urban,C
560,Second City,4,4,Normal Heights,Urban,C
561,Second City,4,4,Normal Heights,Urban,C
562,Second City,4,4,Normal Heights,Urban,C
563,Second City,4,4,Normal Heights,Urban,C
564,Second City,4,4,Normal Heights,Urban,C
565,Second City,4,4,Normal Heights,Urban,C
566,Second City,4,NULL,NULL,Urban,C
567,Second City,4,NULL,NULL,Urban,C
568,Second City,4,NULL,NULL,Urban,C
569,Second City,4,NULL,NULL,Urban,C
570,Second City,4,NULL,NULL,Urban,C
571,Second City,4,NULL,NULL,Urban,C
572,Second City,4,NULL,NULL,Urban,C
573,Second City,4,NULL,NULL,Urban,C
574,Second City,4,NULL,NULL,Urban,C
575,Second City,4,NULL,NULL,Urban,C
576,Second City,4,NULL,NULL,Urban,C
577,Second City,4,NULL,NULL,Urban,C
578,Second City,4,NULL,NULL,Urban,C
579,Second City,4,NULL,NULL,Urban,C
580,Second City,4,4,Normal Heights,Urban,C
581,Second City,4,4,Normal Heights,Urban,C
582,Second City,4,NULL,NULL,Urban,C
583,Second City,4,NULL,NULL,Urban,C
584,Second City,4,NULL,NULL,Urban,C
585,Second City,4,NULL,NULL,Urban,C
586,Second City,4,NULL,NULL,Urban,C
587,Second City,4,NULL,NULL,Urban,C
588,Second City,4,NULL,NULL,Urban,C
589,Second City,4,NULL,NULL,Urban,C
590,Second City,4,NULL,NULL,Urban,C
591,Second City,4,NULL,NULL,Urban,C
592,Second City,4,NULL,NULL,Urban,C
593,Second City,4,NULL,NULL,Urban,C
594,Town Center,3,4,Mission Gorge,Urban,U
595,Town Center,3,4,Mission Gorge,Urban,U
596,Second City,4,NULL,NULL,Urban,C
597,Second City,4,NULL,NULL,Urban,C
598,Second City,4,NULL,NULL,Urban,C
599,Second City,4,NULL,NULL,Urban,C
600,Second City,4,NULL,NULL,Urban,C
601,Second City,4,NULL,NULL,Urban,C
602,Second City,4,NULL,NULL,Urban,C
603,Second City,4,NULL,NULL,Urban,C
604,Second City,4,NULL,NULL,Urban,C
605,Second City,4,4,Normal Heights,Urban,C
606,Second City,4,NULL,NULL,Urban,C
607,Second City,4,NULL,NULL,Urban,C
608,Second City,4,NULL,NULL,Urban,C
609,Second City,4,NULL,NULL,Urban,C
610,Second City,4,NULL,NULL,Urban,C
611,Second City,4,NULL,NULL,Urban,C
612,Second City,4,NULL,NULL,Urban,C
613,Second City,4,4,Mid-City,Urban,C
614,Second City,4,NULL,NULL,Urban,C
615,Second City,4,NULL,NULL,Urban,C
616,Second City,4,NULL,NULL,Urban,C
617,Second City,4,NULL,NULL,Urban,C
618,Second City,4,NULL,NULL,Urban,C
619,Second City,4,NULL,NULL,Urban,C
620,Second City,4,NULL,NULL,Urban,C
621,Second City,4,NULL,NULL,Urban,C
622,Second City,4,NULL,NULL,Urban,C
623,Second City,4,NULL,NULL,Urban,C
624,Second City,4,4,Mid-City,Urban,C
625,Second City,4,NULL,NULL,Urban,C
