Stop_ID,Route_ID,Route_Name,Route,TNODE,ISTOP,ZONE,StopName
1,1,398108,398,9332,4,270,                    CAMP PENDLETON      
2,1,398108,398,3592,4,630,COASTER STATION     OCEANSIDE           
3,1,398108,398,4011,4,793,COASTER STATION     CARLSBAD VILLAGE    
4,1,398108,398,15563,4,1266,COASTER STATION     CARLSBAD POINSETTIAA
5,1,398108,398,5547,4,1533,COASTER STATION     ENCINITAS           
6,1,398108,398,6041,4,1764,COASTER STATION     SOLANA BEACH        
7,1,398108,398,6866,4,2091,COASTER STATION     SORRENTO VALLEY     
8,1,398108,398,16130,4,3403,COASTER STATION     NAVWAR              
9,1,398108,398,15327,4,3952,COASTER STATION     SANTA FE DEPOT      
10,1,398108,398,15329,4,4213,COASTER STATION     GASLAMP QUARTER     
11,2,398208,398,15329,4,4213,COASTER STATION     GASLAMP QUARTER     
12,2,398208,398,15327,4,3952,COASTER STATION     SANTA FE DEPOT      
13,2,398208,398,16130,4,3403,COASTER STATION     NAVWAR              
14,2,398208,398,6866,4,2091,COASTER STATION     SORRENTO VALLEY     
15,2,398208,398,6041,4,1764,COASTER STATION     SOLANA BEACH        
16,2,398208,398,5547,4,1533,COASTER STATION     ENCINITAS           
17,2,398208,398,15563,4,1266,COASTER STATION     CARLSBAD POINSETTIAA
18,2,398208,398,4011,4,793,COASTER STATION     CARLSBAD VILLAGE    
19,2,398208,398,3592,4,630,COASTER STATION     OCEANSIDE           
20,2,398208,398,9332,4,270,                    CAMP PENDLETON      
21,3,399101,399,3589,5,606,SPRINTER STATION    OCEANSIDE TC        
22,3,399101,399,3758,5,674,SPRINTER STATION    COAST HIGHWAY       
23,3,399101,399,15301,5,605,SPRINTER STATION    CROUCH STREET       
24,3,399101,399,3419,5,554,SPRINTER STATION    EL CAMINO REAL      
25,3,399101,399,15300,5,549,SPRINTER STATION    RANCHO DEL ORO      
26,3,399101,399,15299,5,524,SPRINTER STATION    COLLEGE BLVD        
27,3,399101,399,15298,5,423,SPRINTER STATION    MELROSE DR          
28,3,399101,399,3338,5,515,SPRINTER STATION    VISTA TRANSIT CENTER
29,3,399101,399,15302,5,642,SPRINTER STATION    ESCONDIDO AVE       
30,3,399101,399,15303,5,764,SPRINTER STATION    BUENA CREEK         
31,3,399101,399,4222,5,871,SPRINTER STATION    PALOMAR COLLEGE     
32,3,399101,399,4341,5,981,SPRINTER STATION    SAN MARCOS CIVIC CTR
33,3,399101,399,4557,5,1058,SPRINTER STATION    CSU-SAN MARCOS      
34,3,399101,399,4677,5,1066,SPRINTER STATION    NORDAHL ROAD        
35,3,399101,399,4949,5,1210,SPRINTER STATION    ESCONDIDO TC        
36,4,399201,399,4949,5,1210,SPRINTER STATION    ESCONDIDO TC        
37,4,399201,399,4677,5,1066,SPRINTER STATION    NORDAHL ROAD        
38,4,399201,399,4557,5,1058,SPRINTER STATION    CSU-SAN MARCOS      
39,4,399201,399,4341,5,981,SPRINTER STATION    SAN MARCOS CIVIC CTR
40,4,399201,399,4222,5,871,SPRINTER STATION    PALOMAR COLLEGE     
41,4,399201,399,15303,5,764,SPRINTER STATION    BUENA CREEK         
42,4,399201,399,15302,5,642,SPRINTER STATION    ESCONDIDO AVE       
43,4,399201,399,3338,5,515,SPRINTER STATION    VISTA TRANSIT CENTER
44,4,399201,399,15298,5,423,SPRINTER STATION    MELROSE DR          
45,4,399201,399,15299,5,524,SPRINTER STATION    COLLEGE BLVD        
46,4,399201,399,15300,5,549,SPRINTER STATION    RANCHO DEL ORO      
47,4,399201,399,3419,5,554,SPRINTER STATION    EL CAMINO REAL      
48,4,399201,399,15301,5,605,SPRINTER STATION    CROUCH STREET       
49,4,399201,399,3758,5,674,SPRINTER STATION    COAST HIGHWAY       
50,4,399201,399,3589,5,606,SPRINTER STATION    OCEANSIDE TC        
51,5,510106,510,2505,5,4993,TROLLEY STATION     SAN YSIDRO TC       
52,5,510106,510,14864,5,4967,TROLLEY STATION     BEYER BLVD          
53,5,510106,510,14620,5,4880,TROLLEY STATION     IRIS AVENUE         
54,5,510106,510,14412,5,4821,TROLLEY STATION     PALM AVENUE         
55,5,510106,510,14250,5,4783,TROLLEY STATION     PALOMAR STREET      
56,5,510106,510,13911,5,4650,TROLLEY STATION     H STREET            
57,5,510106,510,13773,5,4610,TROLLEY STATION     BAYFRONT/E STREET   
58,5,510106,510,13411,5,4505,TROLLEY STATION     24TH STREET         
59,5,510106,510,13250,5,4384,TROLLEY STATION     8TH STREET          
60,5,510106,510,13104,5,4330,TROLLEY STATION     PACIFIC FLEET       
61,5,510106,510,13026,5,4314,TROLLEY STATION     HARBORSIDE          
62,5,510106,510,12866,5,4255,TROLLEY STATION     BARRIO LOGAN        
63,5,510106,510,12676,5,4224,TROLLEY STATION     12TH & IMPERIAL TC  
64,5,510106,510,15328,5,4138,TROLLEY STATION     PARK & MARKET       
65,5,510106,510,11899,5,4001,TROLLEY STATION     CITY COLLEGE        
66,5,510106,510,15551,5,4007,TROLLEY STATION     FIFTH AVENUE        
67,5,510106,510,15541,5,3959,TROLLEY STATION     CIVIC CENTER        
68,5,510106,510,11909,5,3974,TROLLEY STATION     AMERICA PLAZA       
69,5,510106,510,11827,5,3952,TROLLEY STATION     SANTA FE DEPOT      
70,5,510106,510,11540,5,3888,TROLLEY STATION     COUNTY CENTER       
71,5,510106,510,11161,5,3664,TROLLEY STATION     MIDDLETOWN          
72,5,510106,510,10932,5,3581,TROLLEY STATION     WASHINGTON ST       
73,5,510106,510,17093,5,3403,COASTER STATION     NAVWAR              
74,5,510106,510,9715,5,3169,LRT MIDCOAST        TECOLOTE            
75,5,510106,510,9134,5,2989,LRT MIDCOAST        CLAIREMONT          
76,5,510106,510,8666,5,2774,LRT MIDCOAST        BALBOA              
77,5,510106,510,15385,5,2284,LRT-MIDCOAST        UNIVERSITY CENTER LN
78,5,510106,510,16225,5,2247,VA HOSPITAL         VA HOSPITAL         
79,5,510106,510,7175,5,2215,LRT MIDCOAST        UCSD WEST           
80,5,510106,510,7128,5,2228,VOIGT               UCSD EAST           
81,5,510106,510,9135,5,2253,LRT MIDCOAST        EXECUTIVE           
82,5,510106,510,15321,5,2258,LRT MIDCOAST        UTC TRANSIT CTR     
83,6,510206,510,15321,5,2258,LRT MIDCOAST        UTC TRANSIT CTR     
84,6,510206,510,9135,5,2253,LRT MIDCOAST        EXECUTIVE           
85,6,510206,510,7128,5,2228,VOIGT               UCSD EAST           
86,6,510206,510,7175,5,2215,LRT MIDCOAST        UCSD WEST           
87,6,510206,510,16225,5,2247,VA HOSPITAL         VA HOSPITAL         
88,6,510206,510,15385,5,2284,LRT-MIDCOAST        UNIVERSITY CENTER LN
89,6,510206,510,8666,5,2774,LRT MIDCOAST        BALBOA              
90,6,510206,510,9134,5,2989,LRT MIDCOAST        CLAIREMONT          
91,6,510206,510,9715,5,3169,LRT MIDCOAST        TECOLOTE            
92,6,510206,510,17093,5,3403,COASTER STATION     NAVWAR              
93,6,510206,510,10932,5,3581,TROLLEY STATION     WASHINGTON ST       
94,6,510206,510,11161,5,3664,TROLLEY STATION     MIDDLETOWN          
95,6,510206,510,11540,5,3888,TROLLEY STATION     COUNTY CENTER       
96,6,510206,510,11827,5,3952,TROLLEY STATION     SANTA FE DEPOT      
97,6,510206,510,11909,5,3974,TROLLEY STATION     AMERICA PLAZA       
98,6,510206,510,15541,5,3959,TROLLEY STATION     CIVIC CENTER        
99,6,510206,510,15551,5,4007,TROLLEY STATION     FIFTH AVENUE        
100,6,510206,510,11899,5,4001,TROLLEY STATION     CITY COLLEGE        
101,6,510206,510,15328,5,4138,TROLLEY STATION     PARK & MARKET       
102,6,510206,510,12676,5,4224,TROLLEY STATION     12TH & IMPERIAL TC  
103,6,510206,510,12866,5,4255,TROLLEY STATION     BARRIO LOGAN        
104,6,510206,510,13026,5,4314,TROLLEY STATION     HARBORSIDE          
105,6,510206,510,13104,5,4330,TROLLEY STATION     PACIFIC FLEET       
106,6,510206,510,13250,5,4384,TROLLEY STATION     8TH STREET          
107,6,510206,510,13411,5,4505,TROLLEY STATION     24TH STREET         
108,6,510206,510,13773,5,4610,TROLLEY STATION     BAYFRONT/E STREET   
109,6,510206,510,13911,5,4650,TROLLEY STATION     H STREET            
110,6,510206,510,14250,5,4783,TROLLEY STATION     PALOMAR STREET      
111,6,510206,510,14412,5,4821,TROLLEY STATION     PALM AVENUE         
112,6,510206,510,14620,5,4880,TROLLEY STATION     IRIS AVENUE         
113,6,510206,510,14864,5,4967,TROLLEY STATION     BEYER BLVD          
114,6,510206,510,2505,5,4993,TROLLEY STATION     SAN YSIDRO TC       
115,7,520103,520,8749,5,2801,TROLLEY STATION     ARNELE AVENUE       
116,7,520103,520,9121,5,2962,TROLLEY STATION     EL CAJON TRANSIT CTR
117,7,520103,520,9273,5,3048,TROLLEY STATION     AMAYA DRIVE         
118,7,520103,520,9365,5,3068,TROLLEY STATION     GROSSMONT CENTER    
119,7,520103,520,9956,5,3264,TROLLEY STATION     LA MESA BLVD        
120,7,520103,520,10192,5,3293,TROLLEY STATION     SPRING STREET       
121,7,520103,520,10890,5,3567,TROLLEY STATION     LEMON GROVE DEPOT   
122,7,520103,520,11487,5,3831,TROLLEY STATION     MASSACHUSETTS AVE   
123,7,520103,520,12468,5,4099,TROLLEY STATION     ENCANTO/62ND ST     
124,7,520103,520,12520,5,4098,TROLLEY STATION     EUCLID AVENUE       
125,7,520103,520,12572,5,4197,TROLLEY STATION     47TH STREET         
126,7,520103,520,12679,5,4223,TROLLEY STATION     32ND & COMMERCIAL   
127,7,520103,520,12695,5,4237,TROLLEY STATION     25TH & COMMERCIAL   
128,7,520103,520,12676,5,4224,TROLLEY STATION     12TH & IMPERIAL TC  
129,7,520103,520,15328,5,4138,TROLLEY STATION     PARK & MARKET       
130,7,520103,520,11899,5,4001,TROLLEY STATION     CITY COLLEGE        
131,7,520103,520,15551,5,4007,TROLLEY STATION     FIFTH AVENUE        
132,7,520103,520,15541,5,3959,TROLLEY STATION     CIVIC CENTER        
133,7,520103,520,7986,5,4012,FUTURE COURTHOUSE   UNION/STATE         
134,8,520203,520,7986,5,4012,FUTURE COURTHOUSE   UNION/STATE         
135,8,520203,520,15541,5,3959,TROLLEY STATION     CIVIC CENTER        
136,8,520203,520,15551,5,4007,TROLLEY STATION     FIFTH AVENUE        
137,8,520203,520,11899,5,4001,TROLLEY STATION     CITY COLLEGE        
138,8,520203,520,15328,5,4138,TROLLEY STATION     PARK & MARKET       
139,8,520203,520,12676,5,4224,TROLLEY STATION     12TH & IMPERIAL TC  
140,8,520203,520,12695,5,4237,TROLLEY STATION     25TH & COMMERCIAL   
141,8,520203,520,12679,5,4223,TROLLEY STATION     32ND & COMMERCIAL   
142,8,520203,520,12572,5,4197,TROLLEY STATION     47TH STREET         
143,8,520203,520,12520,5,4098,TROLLEY STATION     EUCLID AVENUE       
144,8,520203,520,12468,5,4099,TROLLEY STATION     ENCANTO/62ND ST     
145,8,520203,520,11487,5,3831,TROLLEY STATION     MASSACHUSETTS AVE   
146,8,520203,520,10890,5,3567,TROLLEY STATION     LEMON GROVE DEPOT   
147,8,520203,520,10192,5,3293,TROLLEY STATION     SPRING STREET       
148,8,520203,520,9956,5,3264,TROLLEY STATION     LA MESA BLVD        
149,8,520203,520,9365,5,3068,TROLLEY STATION     GROSSMONT CENTER    
150,8,520203,520,9273,5,3048,TROLLEY STATION     AMAYA DRIVE         
151,8,520203,520,9121,5,2962,TROLLEY STATION     EL CAJON TRANSIT CTR
152,8,520203,520,8749,5,2801,TROLLEY STATION     ARNELE AVENUE       
153,9,530115,530,7833,5,2449,TROLLEY STATION     SANTEE TOWN CENTER  
154,9,530115,530,8256,5,2616,TROLLEY STATION     GILLESPIE FIELD     
155,9,530115,530,8749,5,2801,TROLLEY STATION     ARNELE AVENUE       
156,9,530115,530,9121,5,2962,TROLLEY STATION     EL CAJON TRANSIT CTR
157,9,530115,530,9273,5,3048,TROLLEY STATION     AMAYA DRIVE         
158,9,530115,530,9365,5,3068,TROLLEY STATION     GROSSMONT CENTER    
159,9,530115,530,15309,5,3158,TROLLEY STATION     70TH STREET         
160,9,530115,530,9533,5,3111,TROLLEY STATION     ALVARADO MED CENTER 
161,9,530115,530,9650,5,3176,TROLLEY STATION     SDSU TRANSIT CENTER 
162,9,530115,530,9390,5,3059,TROLLEY STATION     GRANTVILLE          
163,9,530115,530,9363,5,3045,TROLLEY STATION     MISSION SAN DIEGO   
164,9,530115,530,9362,5,3020,TROLLEY STATION     QUALCOMM STADIUM    
165,9,530115,530,9480,5,3104,TROLLEY STATION     FENTON PARKWAY      
166,9,530115,530,9624,5,3150,TROLLEY STATION     RIO VISTA           
167,9,530115,530,9712,5,3151,TROLLEY STATION     MISSION VALLEY CTR  
168,9,530115,530,9737,5,3174,TROLLEY STATION     HAZARD CENTER       
169,9,530115,530,15325,5,3249,TROLLEY STATION     FASHION VALLEY TC   
170,9,530115,530,9929,5,3251,FUTURE RAIL STATION RIVERWALK           
171,9,530115,530,9960,5,3227,TROLLEY STATION     MORENA/LINDA VISTA  
172,9,530115,530,17093,5,3403,COASTER STATION     NAVWAR              
173,9,530115,530,10932,5,3581,TROLLEY STATION     WASHINGTON ST       
174,9,530115,530,11161,5,3664,TROLLEY STATION     MIDDLETOWN          
175,9,530115,530,11540,5,3888,TROLLEY STATION     COUNTY CENTER       
176,9,530115,530,11827,5,3952,TROLLEY STATION     SANTA FE DEPOT      
177,9,530115,530,12268,5,4100,TROLLEY STATION     SEAPORT VILLAGE     
178,9,530115,530,12513,5,4173,TROLLEY STATION     CONVENTION CENTER   
179,9,530115,530,12605,5,4213,TROLLEY STATION     GASLAMP QUARTER     
180,9,530115,530,12676,5,4224,TROLLEY STATION     12TH & IMPERIAL TC  
