scenario_id,route,mode,vmt,vht,max_num_of_vehicle_tod
206,709,Local Bus,1264.423238,78.00813307,8
206,712,Local Bus,1246.636272,80.0480673,7
206,715,Local Bus,758.171526,41.26882993,5
206,716,Local Bus,1016.64276,43.8371454,4
206,815,Local Bus,518.022816,45.54229388,5
206,816,Local Bus,738.876498,44.15639238,4
206,832,Local Bus,84.34656533,5.246142308,1
206,833,Local Bus,243.9751863,17.1050971,2
206,834,Local Bus,96.944965,5.973767833,1
206,838,Local Bus,769.152377,35.05274355,4
206,842,Local Bus,833.209065,50.82473453,6
206,848,Local Bus,942.980124,64.168166,6
206,851,Local Bus,661.22552,34.2577717,4
206,852,Local Bus,428.271104,34.51038933,4
206,854,Local Bus,473.72496,25.21287132,4
206,855,Local Bus,546.124636,36.944239,4
206,856,Local Bus,1623.803322,101.7864414,8
206,864,Local Bus,975.666593,62.83903253,6
206,870,Freeway Rapid,1458.421375,56.87931452,6
206,872,Local Bus,190.436076,16.03551127,2
206,874,Local Bus,529.66683,36.79325687,3
206,875,Local Bus,549.28412,37.63847543,3
206,890,Freeway Rapid,1561.510308,58.98509763,6
206,901,Local Bus,2892.558975,168.3781426,14
206,904,Local Bus,126.421698,9.9054575,2
206,905,Local Bus,817.726095,36.75014468,4
206,906,Local Bus,809.5524,67.2900198,5
206,907,Local Bus,809.5524,66.57678893,5
206,909,Local Bus,237.9908365,12.94637052,2
206,910,Arterial Rapid,986.923644,81.04419815,7
206,916,Local Bus,638.036135,49.40635683,4
206,917,Local Bus,638.036135,48.97718172,4
206,921,Local Bus,805.200591,62.50226432,8
206,923,Local Bus,1277.69541,117.327016,11
206,928,Local Bus,1344.390112,92.1392185,10
206,929,Local Bus,2225.903895,182.0209592,15
206,932,Local Bus,1638.2757,129.2012424,12
206,933,Local Bus,1305.068511,89.53420688,7
206,934,Local Bus,1304.736849,89.3310258,7
206,936,Local Bus,1231.954796,93.59507185,9
206,944,Local Bus,277.817644,18.35108572,2
206,945,Local Bus,655.25909,44.76508859,5
206,950,Freeway Rapid,2316.91428,77.3956811,6
206,955,Local Bus,1531.424325,122.9045282,11
206,961,Local Bus,1332.234344,93.83984375,10
206,962,Local Bus,1047.67316,64.75759557,6
206,963,Local Bus,561.213465,43.77548667,5
206,964,Local Bus,401.467864,32.16424158,4
206,965,Local Bus,346.745634,31.81697683,3
206,967,Local Bus,179.535556,13.79876356,2
206,968,Local Bus,235.151865,17.31374271,2
206,972,Local Bus,188.082752,15.46165364,2
206,973,Local Bus,234.569062,13.68725136,2
206,974,Local Bus,165.731878,9.907656925,2
206,978,Local Bus,184.965742,13.49543878,2
206,979,Local Bus,155.63951,13.31133354,2
206,984,Local Bus,392.439424,23.97583453,4
206,992,Local Bus,737.606114,77.63745728,5
