Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
12,2016,36944,11475,23951,55767,21477,26117
19,2016,100232,33058,65417,145651,64838,77473
18,2016,23867,7307,14512,31479,11437,12267
7,2016,34464,11324,20972,46438,16659,18906
15,2016,21203,6903,12806,29288,9981,12387
1,2016,19890,7049,13938,37052,15746,18589
14,2016,267168,79945,181059,474756,158950,184999
6,2016,10613,3530,7398,20752,9205,10599
13,2016,9732,3603,6498,14649,7312,7642
17,2016,2125,732,1610,4544,2008,2841
4,2016,478,163,471,1407,723,1042
16,2016,10814,3436,6970,18054,7546,8482
5,2016,21919,6778,14183,33045,12691,14177
9,2016,10468,2854,8052,21316,7939,9709
10,2016,5893,1862,3734,8270,3223,3382
3,2016,2851,991,2299,5605,2439,3761
11,2016,14007,4470,8391,17027,5732,6166
2,2016,61912,20531,38664,84928,27729,29935
8,2016,6018,1814,4072,9183,3253,3217
12,2035,29948,11546,28602,55825,17290,36877
19,2035,83298,32176,77361,145795,44963,101035
18,2035,19013,7581,17860,31371,9188,18561
7,2035,29896,12039,28758,51666,15043,30192
15,2035,18176,7211,16718,30699,9322,18038
1,2035,17421,6284,17501,36777,12447,28336
14,2035,218914,80897,239207,509852,161766,325502
6,2035,9247,3494,9007,19207,6676,15998
13,2035,9089,3393,7976,15514,4662,10560
17,2035,1962,653,2150,4732,1598,3994
4,2035,458,154,622,1425,499,1366
16,2035,8811,3423,8407,17012,5516,12681
5,2035,18308,6830,16996,32816,10058,21723
9,2035,9161,3357,10773,23528,7558,16436
10,2035,5340,2066,4695,9118,2643,5030
3,2035,2586,940,2638,6061,2030,4848
11,2035,13352,5407,13043,22021,5814,9791
2,2035,52641,21509,50134,90355,26060,45771
8,2035,4919,1956,5058,9746,2772,5604
