Geo,Year,ElectricityCI
12,2016,153
19,2016,153
18,2016,153
7,2016,153
15,2016,153
1,2016,153
14,2016,153
6,2016,153
13,2016,153
17,2016,153
4,2016,153
16,2016,153
5,2016,153
9,2016,153
10,2016,153
3,2016,153
11,2016,153
2,2016,153
8,2016,153
12,2035,23
19,2035,23
18,2035,23
7,2035,23
15,2035,23
1,2035,23
14,2035,23
6,2035,23
13,2035,23
17,2035,23
4,2035,23
16,2035,23
5,2035,23
9,2035,23
10,2035,23
3,2035,23
11,2035,23
2,2035,23
8,2035,23
