Geo,LdvFwyDvmtProp,LdvArtDvmtProp,LdvOthDvmtProp,HvyTrkFwyDvmtProp,HvyTrkArtDvmtProp,HvyTrkOthDvmtProp,BusFwyDvmtProp,BusArtDvmtProp,BusOthDvmtProp
SD-Urban-TransitService,0.51673331,0.25596778,0.22729891,0.6336037,0.19750201,0.1688943,0.05317681,0.6213817,0.32544149
None,0.58632366,0.22231612,0.19136021,0.68289504,0.17241759,0.14468736,0.34085905,0.49568303,0.16345792
