Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
2016,993.49,99.35,137.09,1966.11,NA,98.33,NA
2035,733.42,73.34,107.85,1421.31,NA,87.65,NA
