Geo,Year,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
SD-Urban-TransitService,2016,NA,98.33,NA
None,2016,NA,0,NA
SD-Urban-TransitService,2035,NA,87.65,NA
None,2035,NA,0,NA
