Geo,Year,AveHhSize,Prop1PerHh
12,2016,2.8751329330344726,0.20493774643739468
19,2016,2.9437999032180016,0.1735059278974111
18,2016,3.2095265368461243,0.1563573883161512
7,2016,3.1954934055075825,0.1675258839197491
15,2016,3.1252911982173606,0.1598973631790405
1,2016,2.5887561684268783,0.23845870036434072
14,2016,2.664281715661354,0.25503084875111515
6,2016,2.510998786898504,0.25750101091791344
13,2016,3.003767164904606,0.148681492283388
17,2016,2.334119232064668,0.3009430784776019
4,2016,2.0655737704918034,0.3548698167791707
16,2016,2.78473236316028,0.20383705121103782
5,2016,2.912973248696441,0.20074812967581046
9,2016,2.359349339172597,0.31273950105575976
10,2016,3.0355785837651124,0.18767990788716177
3,2016,2.364426877470356,0.29815546772068513
11,2016,3.493613024420789,0.12661239824671258
2,2016,3.287443588401027,0.1387538334953998
8,2016,2.891908909644244,0.20243467310315877
12,2035,2.731378823957654,0.1864620144692339
19,2035,2.820622060809238,0.16321530008846674
18,2035,3.0330912498535785,0.1295829916832611
7,2035,3.0056312769010045,0.13142037302725967
15,2035,3.0231800072437522,0.13071954605819147
1,2035,2.4500464156781847,0.24342444559051057
14,2035,2.429026152379236,0.24854168742064076
6,2035,2.419721630666261,0.2561606327958625
13,2035,2.9000169942785927,0.1423554070129723
17,2035,2.239720944040374,0.29627430607095145
4,2035,2.0205448861098705,0.35774899508709246
16,2035,2.6499335737331564,0.19771303852723476
5,2035,2.7636914472151015,0.17796939330381417
9,2035,2.241556139406793,0.29296318571745117
10,2035,2.899929740038141,0.1547726588376995
3,2035,2.269843155893536,0.2881416349809886
11,2035,3.328443357783211,0.08255429311088738
2,2035,3.1281530498591366,0.10952412151390072
8,2035,2.7603783982365906,0.18084129316678912
