Geo,Year,LtTrkProp
12,2016,0.47
19,2016,0.53
18,2016,0.52
7,2016,0.39
15,2016,0.34
1,2016,0.36
14,2016,0.37
6,2016,0.34
13,2016,0.36
17,2016,0.52
4,2016,0.18
16,2016,0.47
5,2016,0.42
9,2016,0.42
10,2016,0.35
3,2016,0.34
11,2016,0.41
2,2016,0.46
8,2016,0.43
12,2035,0.35
19,2035,0.4
18,2035,0.39
7,2035,0.29
15,2035,0.26
1,2035,0.27
14,2035,0.28
6,2035,0.26
13,2035,0.27
17,2035,0.4
4,2035,0.13
16,2035,0.36
5,2035,0.32
9,2035,0.32
10,2035,0.27
3,2035,0.25
11,2035,0.31
2,2035,0.34
8,2035,0.32
