Year,Geo,AveVehPerDriver
2016,12,0.9036252
2016,19,1.03815864
2016,18,0.87157404
2016,7,0.86405724
2016,15,0.96145488
2016,1,1.01724336
2016,14,0.92480832
2016,6,1.04490324
2016,13,0.94137984
2016,17,1.00754604
2016,4,1.03429764
2016,16,0.99706896
2016,5,0.85027212
2016,9,0.91542636
2016,10,0.91479996
2016,3,1.12205736
2016,11,0.83782944
2016,2,0.87058584
2016,8,0.82844208
2035,12,0.9595264
2035,19,1.0542952
2035,18,0.8971368
2035,7,0.8704584
2035,15,0.94213392
2035,1,1.0686424
2035,14,0.8814232
2035,6,1.07026416
2035,13,1.04614944
2035,17,1.05505456
2035,4,1.09365648
2035,16,0.99355088
2035,5,0.84458528
2035,9,0.94154032
2035,10,0.89109328
2035,3,1.10744592
2035,11,0.76661424
2035,2,0.88854192
2035,8,0.88745888
