Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
SD-Urban-TransitService,2016,1,0,0,1,0,0,0,0,1
None,2016,1,0,0,1,0,0,0,0,1
SD-Urban-TransitService,2035,1,0,0,1,0,0,0,0,1
None,2035,1,0,0,1,0,0,0,0,1
