Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
116,2016,0.0,0.0,0.0,1.0,0.0,0.0
117,2016,0.0,0.0,0.0,1.0,0.0,1.0
118,2016,0.0,0.0,0.0,0.0,0.0,0.0
119,2016,0.0,0.0,0.0,1.0,0.0,0.0
120,2016,0.0,0.0,0.0,0.0,0.0,0.0
121,2016,0.0,0.0,0.0,1.0,0.0,0.0
122,2016,0.0,0.0,0.0,1.0,0.0,0.0
123,2016,0.0,0.0,0.0,0.0,0.0,0.0
124,2016,0.0,0.0,0.0,1.0,0.0,1.0
125,2016,0.0,0.0,0.0,1.0,0.0,1.0
126,2016,0.0,0.0,0.0,0.0,0.0,0.0
127,2016,0.0,0.0,0.0,0.0,0.0,0.0
128,2016,0.0,0.0,0.0,0.0,0.0,0.0
129,2016,0.0,0.0,0.0,0.0,0.0,0.0
130,2016,0.0,0.0,0.0,0.0,0.0,0.0
131,2016,0.0,0.0,0.0,0.0,0.0,0.0
132,2016,0.0,0.0,0.0,1.0,0.0,1.0
133,2016,0.0,0.0,0.0,1.0,0.0,0.0
134,2016,0.0,0.0,0.0,0.0,0.0,0.0
135,2016,0.0,0.0,0.0,1.0,0.0,0.0
136,2016,0.0,0.0,0.0,1.0,0.0,1.0
137,2016,0.0,0.0,0.0,1.0,0.0,0.0
138,2016,0.0,0.0,0.0,1.0,1.0,1.0
139,2016,0.0,0.0,0.0,1.0,0.0,0.0
140,2016,0.0,0.0,0.0,1.0,0.0,0.0
141,2016,0.0,0.0,0.0,0.0,0.0,0.0
142,2016,0.0,0.0,0.0,0.0,0.0,0.0
143,2016,0.0,0.0,0.0,0.0,0.0,0.0
144,2016,0.0,0.0,0.0,1.0,0.0,0.0
145,2016,0.0,0.0,0.0,1.0,0.0,0.0
146,2016,0.0,0.0,0.0,0.0,0.0,0.0
147,2016,0.0,0.0,0.0,1.0,0.0,0.0
148,2016,0.0,0.0,0.0,0.0,0.0,0.0
149,2016,0.0,0.0,0.0,0.0,0.0,0.0
150,2016,0.0,0.0,0.0,1.0,0.0,0.0
151,2016,0.0,0.0,0.0,0.0,0.0,0.0
152,2016,0.0,0.0,0.0,0.0,0.0,0.0
153,2016,0.0,0.0,0.0,0.0,0.0,0.0
154,2016,0.0,0.0,0.0,0.0,0.0,0.0
155,2016,0.0,0.0,0.0,0.0,0.0,0.0
156,2016,0.0,0.0,0.0,0.0,0.0,0.0
157,2016,0.0,0.0,0.0,0.0,0.0,0.0
158,2016,0.0,0.0,0.0,0.9973614775725593,0.0,0.0
159,2016,0.0,0.0,0.0,0.0,0.0,0.0
160,2016,0.0,0.0,0.0,0.0,0.0,0.0
161,2016,0.0,0.0,0.0,0.0,0.0,0.0
162,2016,0.0,0.0,0.0,0.0,0.0,0.0
163,2016,0.0,0.0,0.0,0.0,0.0,0.0
164,2016,0.0,0.0,0.0,1.0,0.0,1.0
165,2016,0.0,0.0,0.0,0.0,0.0,0.0
166,2016,0.0,0.0,0.0,0.0,0.0,0.0
167,2016,0.0,0.0,0.0,0.0,0.0,0.0
168,2016,0.0,0.0,0.0,0.0,0.0,0.0
169,2016,0.0,0.0,0.0,0.0,0.0,0.0
170,2016,0.0,0.0,0.0,0.0,0.0,0.0
171,2016,0.0,0.0,0.0,0.0,0.0,0.0
172,2016,0.0,0.0,0.0,0.17763157894736842,0.0,0.0
173,2016,0.0,0.0,0.0,1.0,0.0,0.0
174,2016,0.0,0.0,0.0,0.631578947368421,0.0,0.0
175,2016,0.0,0.0,0.0,0.0,0.0,0.0
176,2016,0.0,0.0,0.0,1.0,0.0,0.0
177,2016,0.0,0.0,0.0,0.0,0.0,0.0
178,2016,0.0,0.0,0.0,1.0,0.0,0.0
179,2016,0.0,0.0,0.0,1.0,0.0,0.0
180,2016,0.0,0.0,0.0,0.0,0.0,0.0
181,2016,0.0,0.0,0.0,0.0,0.0,0.0
182,2016,0.0,0.0,0.0,0.0,0.0,0.0
183,2016,0.0,0.0,0.0,0.0,0.0,0.0
184,2016,0.0,0.0,0.0,1.0,0.0,0.0
185,2016,0.0,0.0,0.0,0.0,0.0,0.0
186,2016,0.0,0.0,0.0,0.0,0.0,0.0
187,2016,0.0,0.0,0.0,0.0,0.0,0.0
188,2016,0.0,0.0,0.0,0.0,0.0,0.0
189,2016,0.0,0.0,0.0,1.0,0.0,0.0
190,2016,0.0,0.0,0.0,0.0,0.0,0.0
191,2016,0.0,0.0,0.0,0.0,0.0,0.0
192,2016,0.0,0.0,0.0,1.0,0.0,0.0
193,2016,0.0,0.0,0.0,0.0,0.0,0.0
194,2016,0.0,0.0,0.0,0.0,0.0,0.0
195,2016,0.0,0.0,0.0,0.0,0.0,0.0
196,2016,0.0,0.0,0.0,0.0,0.0,0.0
197,2016,0.0,0.0,0.0,0.0,0.0,0.0
198,2016,0.0,0.0,0.0,0.0,0.0,0.0
199,2016,0.0,0.0,0.0,0.0,0.0,0.0
200,2016,0.0,0.0,0.0,0.9555555555555556,0.0,0.0
201,2016,0.0,0.0,0.0,0.0,0.0,0.0
202,2016,0.0,0.0,0.0,0.9629629629629629,0.0,0.0
203,2016,0.0,0.0,0.0,0.0,0.0,0.0
204,2016,0.0,0.0,0.0,0.0,0.0,0.0
205,2016,0.0,0.0,0.0,0.0,0.0,0.0
206,2016,0.0,0.0,0.0,0.0,0.0,0.0
207,2016,0.0,0.0,0.0,0.0,0.0,0.0
208,2016,0.0,0.0,0.0,1.0,1.0,0.0
209,2016,0.0,0.0,0.0,0.0,0.0,0.0
