Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
93,2016,3.0,3.0,0,0.32608695652173914,0.0,0,0.0
94,2016,3.0,3.0,0,0.1188118811881188,0.0,0,0.0
95,2016,3.0,3.0,0,0.16564417177914115,0.0,0,0.0
96,2016,3.0,3.0,0,0.1460674157303371,0.0,0,0.0
97,2016,3.0,3.0,0,0.4456641053787047,0.0,0,0.0
98,2016,3.0,3.0,0,0.08849557522123896,0.0,0,0.0
99,2016,3.0,3.0,0,0.17926045016077174,0.0,0,0.0
100,2016,3.0,3.0,0,0.6289938817131203,0.0,0,0.0
101,2016,3.0,3.0,0,0.32320441988950277,0.0,0,0.0
102,2016,3.0,3.0,0,0.15655799848369978,0.0,0,0.0
103,2016,3.0,3.0,0,0.6934984520123839,0.0,0,0.0
104,2016,3.0,3.0,0,0.15082644628099173,0.0,0,0.0
105,2016,3.0,3.0,0,0.18796992481203012,0.0,0,0.0
106,2016,3.0,3.0,0,0.14249363867684484,0.0,0,0.0
107,2016,3.0,3.0,0,0.5141972121837894,0.0,0,0.0
108,2016,3.0,3.0,0,0.14393939393939392,0.0,0,0.0
109,2016,3.0,3.0,0,0.14639175257731962,0.0,0,0.0
110,2016,3.0,3.0,0,0.09339207048458154,0.0,0,0.0
111,2016,3.0,3.0,0,0.456268221574344,0.0,0,0.0
112,2016,3.0,3.0,0,0.09505703422053235,0.0,0,0.0
113,2016,3.0,3.0,0,0.09150326797385622,0.0,0,0.0
114,2016,3.0,3.0,0,0.42141531937450305,0.0,0,0.0
115,2016,3.0,3.0,0,0.09737827715355807,0.0,0,0.0
116,2016,3.0,3.0,0,0.0948905109489051,0.0,0,0.0
117,2016,3.0,3.0,0,0.10554089709762537,0.0,0,0.0
118,2016,3.0,3.0,0,0.2565905096660809,0.0,0,0.0
119,2016,3.0,3.0,0,0.10619469026548678,0.0,0,0.0
120,2016,3.0,3.0,0,0.06024096385542166,0.0,0,0.0
121,2016,3.0,3.0,0,0.11499436302142052,0.0,0,0.0
122,2016,3.0,3.0,0,0.14216163583252195,0.0,0,0.0
123,2016,3.0,3.0,0,1.0,0.0,0,0.0
124,2016,3.0,3.0,0,0.10921985815602842,0.0,0,0.0
125,2016,3.0,3.0,0,0.6095871432529787,0.0,0,0.0
126,2016,3.0,3.0,0,1.0,0.0,0,0.0
127,2016,3.0,3.0,0,0.0,0.0,0,0.0
128,2016,3.0,3.0,0,0.6923076923076923,0.0,0,0.0
129,2016,3.0,3.0,0,0.3157894736842105,0.0,0,0.0
130,2016,3.0,3.0,0,0.0898876404494382,0.0,0,0.0
131,2016,3.0,3.0,0,0.07964601769911506,0.0,0,0.0
132,2016,3.0,3.0,0,0.112540192926045,0.0,0,0.0
133,2016,3.0,3.0,0,0.1644859813084112,0.0,0,0.0
134,2016,3.0,3.0,0,0.3571428571428571,0.0,0,0.0
135,2016,3.0,3.0,0,0.13478611783696526,0.0,0,0.0
136,2016,3.0,3.0,0,0.12301013024602026,0.0,0,0.0
137,2016,3.0,3.0,0,0.07999999999999996,0.0,0,0.0
138,2016,3.0,3.0,0,0.11565420560747663,0.0,0,0.0
139,2016,3.0,3.0,0,0.13782542113323126,0.0,0,0.0
140,2016,3.0,3.0,0,0.17520661157024797,0.0,0,0.0
141,2016,3.0,3.0,0,0.2727272727272727,0.0,0,0.0
142,2016,3.0,3.0,0,1.0,0.0,0,0.0
143,2016,3.0,3.0,0,0.22043706025469612,0.0,0,0.0
144,2016,3.0,3.0,0,0.1578947368421053,0.0,0,0.0
