Year,RoadBaseModCost.2010,RoadPresOpMaintCost.2010,RoadOtherCost.2010,FwyLnMiCost.2010.1e3,ArtLnMiCost.2010.1e3,HvyTrkPCE
2016,0.004,0.01,0.015,4900,1800,3
2035,0.004,0.01,0.015,4900,1800,3
