Geo,Year,FwyLaneMi,ArtLaneMi
SD-Urban-TransitService,2016,1479.810669,2752.496094
None,2016,1104.168457,1421.251221
SD-Urban-TransitService,2035,1647.555786,3030.996582
None,2035,1198.894653,1711.740601
