Geo,Year,TransitEthanolPropGasoline,TransitBiodieselPropDiesel,TransitRngPropCng
SD-Urban-TransitService,2016,0.1,0.05,0.15
None,2016,0,0,0
SD-Urban-TransitService,2035,0.3,0.15,0.45
None,2035,0,0,0
