Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
2016,0.8623,0.1223,0.0154,0.898,0.1004,0.0016
2035,0.441,0.528,0.031,0.5335,0.4572,0.0093
