Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
SD-Urban-TransitService,2016,0.2,0.1,0.2,0.05
None,2016,0,0,0,0
SD-Urban-TransitService,2035,0.4,0.2,0.4,0.2
None,2035,0,0,0,0
