condition,group1,group2,group3
A-0,"[0.0526315789473684,0.289473684210526,0.43859649122807,0.657894736842105,0.842105263157895,1]","[0.285714285714286,0.457142857142857,0.542857142857143,0.8,0.885714285714286,1]","[0,0.333333333333333,0.333333333333333,0.666666666666667,1]"
A-1,"[0.102941176470588,0.235294117647059,0.367647058823529,0.602941176470588,0.735294117647059,1]","[0.232558139534884,0.418604651162791,0.569767441860465,0.790697674418605,0.848837209302325,1]","[0.212765957446809,0.468085106382979,0.531914893617021,0.723404255319149,1]"
B-0,"[0.107692307692308,0.261538461538462,0.430769230769231,0.615384615384615,0.8,1]","[0.229508196721311,0.475409836065574,0.508196721311475,0.786885245901639,0.852459016393443,1]","[0,0.32,0.48,0.72,1]"
B-1,"[0.0649350649350649,0.12987012987013,0.311688311688312,0.519480519480519,0.74025974025974,1]","[0.224489795918367,0.438775510204082,0.551020408163265,0.73469387755102,0.826530612244898,1]","[0.119047619047619,0.428571428571429,0.55952380952381,0.761904761904762,1]"
B-2+,"[0.0153846153846154,0.184615384615385,0.323076923076923,0.615384615384615,0.692307692307692,1]","[0.125,0.35,0.441666666666667,0.608333333333333,0.758333333333333,1]","[0.130434782608696,0.285714285714286,0.403726708074534,0.583850931677019,1]"
C-0,"[0.2,0.6,0.6,0.6,1,1]","[0.5,0.5,0.5,1,1,1]","[0.2,0.4,0.6,0.8,1]"
C-1,"[0.19047619047619,0.357142857142857,0.452380952380952,0.642857142857143,0.809523809523809,1]","[0.2,0.375,0.475,0.725,0.85,1]","[0.0857142857142857,0.314285714285714,0.571428571428571,0.685714285714286,1]"
C-2+,"[0.0597014925373134,0.17910447761194,0.343283582089552,0.552238805970149,0.761194029850746,1]","[0.122448979591837,0.428571428571429,0.5,0.714285714285714,0.795918367346939,1]","[0.102803738317757,0.233644859813084,0.345794392523364,0.570093457943925,1]"
