MGRA,CT10BG
1,1001
2,1001
3,1001
4,1001
5,1001
6,1001
7,1001
8,1001
9,1001
10,1001
11,1001
12,1001
13,1001
14,1001
15,1001
16,1001
17,1001
18,1002
19,1002
20,1002
21,1002
22,1002
23,1002
24,1002
25,1002
26,1002
27,1002
28,1002
29,1002
30,1002
31,1002
32,1002
33,1002
34,1002
35,1002
36,1002
37,1002
38,1002
39,1002
40,1002
41,1002
42,1002
43,1002
44,1002
45,1002
46,1002
47,1002
48,1002
49,1002
50,1002
51,1002
52,1002
53,1002
54,1002
55,1002
56,1002
57,1002
58,1002
59,1002
60,1002
61,1002
62,1002
63,1002
64,2011
65,2011
66,2011
67,2011
68,2011
69,2011
70,2011
71,2011
72,2011
73,2011
74,2011
75,2011
76,2011
77,2011
78,2011
79,2011
80,2011
81,2011
82,2011
83,2011
84,2011
85,2011
86,2011
87,2011
88,2011
89,2011
90,2011
91,2011
92,2011
93,2011
94,2011
95,2011
96,2011
97,2021
98,2021
99,2021
100,2021
101,2021
102,2021
103,2021
104,2021
105,2021
106,2021
107,2021
108,2021
109,2021
110,2021
111,2022
112,2022
113,2022
114,2022
115,2022
116,2022
117,2022
118,2022
119,2022
120,2023
121,2023
122,2023
123,2023
124,2023
125,2023
126,2023
127,2023
128,2023
129,2023
130,2023
131,2023
132,2023
133,2023
134,2023
135,2023
136,2023
137,2023
138,2023
139,2023
140,2023
141,2023
142,2023
143,2023
144,2023
145,2023
146,3001
147,3001
148,3001
149,3001
150,3001
151,3001
152,3001
153,3001
154,3002
155,3002
156,3002
157,3002
158,3002
159,3002
160,3002
161,3002
162,3002
163,3003
164,3003
165,3003
166,3003
167,3003
168,3003
169,3003
170,3003
171,3003
172,3003
173,3003
174,3003
175,3003
176,3003
177,3003
178,3004
179,3004
180,3004
181,3004
182,3004
183,3004
184,3005
185,3005
186,3005
187,3005
188,3005
189,3005
190,3005
191,3005
192,3005
193,4001
194,4001
195,4001
196,4001
197,4001
198,4001
199,4001
200,4001
201,4001
202,4001
203,4001
204,4001
205,4002
206,4002
207,4002
208,4002
209,4002
210,4002
211,4002
212,4002
213,4002
214,4002
215,4002
216,4002
217,4002
218,4003
219,4003
220,4003
221,4003
222,4003
223,4003
224,4003
225,4003
226,4003
227,4003
228,4003
229,4003
230,4003
231,4003
232,5001
233,5001
234,5001
235,5001
236,5001
237,5001
238,5001
239,5002
240,5002
241,5002
242,5002
243,5002
244,5002
245,5002
246,5003
247,5003
248,5003
249,5003
250,5003
251,5003
252,6001
253,6001
254,6001
255,6001
256,6001
257,6001
258,6001
259,6002
260,6002
261,6002
262,6002
263,6002
264,6002
265,6003
266,6003
267,6003
268,6003
269,6003
270,6003
271,6003
272,6003
273,6003
274,6003
275,6003
276,6003
277,7001
278,7001
279,7001
280,7001
281,7001
282,7001
283,7001
284,7001
285,7002
286,7002
287,7002
288,7002
289,7002
290,7002
291,7002
292,7002
293,7002
294,7003
295,7003
296,7003
297,7003
298,7003
299,7003
300,8001
301,8001
302,8001
303,8001
304,8001
305,8001
306,8002
307,8002
308,8002
309,8002
310,8003
311,8003
312,8003
313,8003
314,8003
315,8003
316,8004
317,8004
318,8004
319,8004
320,8004
321,8004
322,9001
323,9001
324,9001
325,9001
326,9001
327,9001
328,9002
329,9002
330,9002
331,9002
332,9003
333,9003
334,9003
335,9003
336,9004
337,9004
338,9004
339,9005
340,9005
341,9005
342,9006
343,9006
344,9006
345,9006
346,9006
347,9006
348,10001
349,10001
350,10001
351,10001
352,10001
353,10002
354,10002
355,10002
356,10002
357,10003
358,10003
359,10003
360,10003
361,10003
362,10004
363,10004
364,10004
365,10004
366,10004
367,11001
368,11001
369,11001
370,11001
371,11001
372,11002
373,11002
374,11002
375,11002
376,11002
377,11002
378,11003
379,11003
380,11003
381,11003
382,11003
383,12001
384,12001
385,12001
386,12001
387,12002
388,12002
389,12002
390,12002
391,12002
392,12002
393,12002
394,12003
395,12003
396,12003
397,12003
398,12003
399,12003
400,12004
401,12004
402,12004
403,12004
404,12004
405,12004
406,12004
407,13001
408,13001
409,13001
410,13001
411,13001
412,13001
413,13002
414,13002
415,13002
416,13002
417,13002
418,13002
419,13002
420,13003
421,13003
422,13003
423,13003
424,13004
425,13004
426,13004
427,13004
428,13004
429,13004
430,13005
431,13005
432,13005
433,14001
434,14001
435,14001
436,14001
437,14001
438,14001
439,14001
440,14001
441,14001
442,14001
443,14001
444,14002
445,14002
446,14002
447,14002
448,14002
449,14002
450,14002
451,14002
452,14002
453,14002
454,14002
455,14002
456,14003
457,14003
458,14003
459,14003
460,14003
461,14003
462,14003
463,14003
464,14003
465,15001
466,15001
467,15001
468,15001
469,15001
470,15001
471,15002
472,15002
473,15002
474,15002
475,15002
476,15002
477,15002
478,15002
479,15003
480,15003
481,15003
482,15003
483,15003
484,15003
485,15003
486,15004
487,15004
488,15004
489,15004
490,15004
491,15004
492,16001
493,16001
494,16001
495,16001
496,16001
497,16001
498,16001
499,16001
500,16001
501,16002
502,16002
503,16002
504,16002
505,16002
506,16002
507,16003
508,16003
509,16003
510,16003
511,16003
512,16003
513,16004
514,16004
515,16004
516,16004
517,16004
518,16004
519,17001
520,17001
521,17001
522,17001
523,17001
524,17002
525,17002
526,17002
527,17002
528,17002
529,17002
530,17002
531,17002
532,17003
533,17003
534,17003
535,17003
536,17003
537,17003
538,17003
539,17003
540,17003
541,17004
542,17004
543,17004
544,18001
545,18001
546,18001
547,18001
548,18001
549,18001
550,18001
551,18002
552,18002
553,18002
554,18002
555,18003
556,18003
557,18003
558,18003
559,18004
560,18004
561,18005
562,18005
563,18005
564,18006
565,18006
566,19001
567,19001
568,19001
569,19001
570,19001
571,19001
572,19002
573,19002
574,19002
575,19002
576,19002
577,19002
578,19002
579,19002
580,19002
581,19002
582,19003
583,19003
584,19003
585,19003
586,20011
587,20011
588,20011
589,20011
590,20011
591,20011
592,20011
593,20011
594,20012
595,20012
596,20012
597,20012
598,20012
599,20012
600,20012
601,20012
602,20012
603,20012
604,20012
605,20012
606,20012
607,20012
608,20012
609,20013
610,20013
611,20013
612,20013
613,20013
614,20021
615,20021
616,20021
617,20021
618,20021
619,20022
620,20022
621,20022
622,20022
623,20022
624,20022
625,20022
626,21001
627,21001
628,21001
629,21001
630,21001
631,21001
632,21001
633,21001
634,21001
635,21001
636,21001
637,21002
638,21002
639,21002
640,21002
641,21002
642,21002
643,21002
644,21002
645,21002
646,21002
647,21003
648,21003
649,21003
650,21003
651,21003
652,21004
653,21004
654,21004
655,21004
656,21004
657,21004
658,21004
659,21005
660,21005
661,21005
662,21005
663,21005
664,21005
665,21005
666,21005
667,22011
668,22011
669,22011
670,22011
671,22011
672,22011
673,22011
674,22012
675,22012
676,22012
677,22012
678,22012
679,22021
680,22021
681,22021
682,22021
683,22021
684,22021
685,22021
686,22021
687,22021
688,22022
689,22022
690,22022
691,22022
692,22022
693,22022
694,22022
695,22022
696,22022
697,22023
698,22023
699,22023
700,22023
701,22023
702,22023
703,22023
704,22023
705,23011
706,23011
707,23011
708,23011
709,23011
710,23012
711,23012
712,23012
713,23012
714,23012
715,23013
716,23013
717,23013
718,23013
719,23013
720,23021
721,23021
722,23021
723,23021
724,23021
725,23021
726,23021
727,23021
728,23021
729,23021
730,23021
731,23021
732,23022
733,23022
734,23022
735,23022
736,23023
737,23023
738,23023
739,23023
740,23023
741,23023
742,24011
743,24011
744,24011
745,24011
746,24011
747,24011
748,24012
749,24012
750,24012
751,24012
752,24012
753,24012
754,24012
755,24013
756,24013
757,24013
758,24013
759,24013
760,24013
761,24021
762,24021
763,24021
764,24021
765,24021
766,24021
767,24021
768,24021
769,24021
770,24021
771,24022
772,24022
773,24022
774,24022
775,24022
776,24022
777,24022
778,24022
779,24022
780,25011
781,25011
782,25011
783,25011
784,25011
785,25011
786,25011
787,25011
788,25011
789,25011
790,25011
791,25011
792,25012
793,25012
794,25012
795,25012
796,25012
797,25012
798,25012
799,25012
800,25013
801,25013
802,25013
803,25013
804,25013
805,25013
806,25013
807,25021
808,25021
809,25021
810,25021
811,25021
812,25021
813,25021
814,25021
815,25021
816,25021
