Make,Model,Category3
Toyota,RAV4 Prime,light truck
Toyota,Regular Cab,light truck
Toyota,Sequoia,light truck
Toyota,Sienna,light truck
Toyota,Solara,car
Toyota,Supra,car
Toyota,T100 Regular Cab,light truck
Toyota,T100 Xtracab,light truck
Toyota,Tacoma Access Cab,light truck
Toyota,Tacoma Double Cab,light truck
Toyota,Tacoma Regular Cab,light truck
Toyota,Tacoma Xtracab,light truck
Toyota,Tercel,car
Toyota,Tundra Access Cab,light truck
Toyota,Tundra CrewMax,light truck
Toyota,Tundra Double Cab,light truck
Toyota,Tundra Regular Cab,light truck
Toyota,Venza,light truck
Toyota,Venza,car
Toyota,Xtra Cab,light truck
Toyota,Yaris,car
Toyota,Yaris Hatchback,car
Toyota,Yaris iA,car
Volkswagen,Arteon,car
Volkswagen,Atlas,light truck
Volkswagen,Atlas Cross Sport,light truck
Volkswagen,Beetle,car
Volkswagen,Cabrio,car
Volkswagen,Cabrio (New),car
Volkswagen,Cabriolet,car
Volkswagen,CC,car
Volkswagen,Corrado,car
Volkswagen,e-Golf,car
Volkswagen,Eos,car
Volkswagen,Eurovan,light truck
Volkswagen,Fox,car
Volkswagen,GLI,car
Volkswagen,Golf,car
Volkswagen,Golf (New),car
Volkswagen,Golf Alltrack,car
Volkswagen,Golf GTI,car
Volkswagen,Golf III,car
Volkswagen,Golf R,car
Volkswagen,Golf SportWagen,car
Volkswagen,GTI,car
Volkswagen,GTI (New),car
Volkswagen,Jetta,car
Volkswagen,Jetta (New),car
Volkswagen,Jetta GLI,car
Volkswagen,Jetta III,car
Volkswagen,Jetta SportWagen,car
Volkswagen,New Beetle,car
Volkswagen,Passat,car
Volkswagen,Passat (New),car
Volkswagen,Phaeton,car
Volkswagen,R32,car
Volkswagen,Rabbit,car
Volkswagen,Routan,light truck
Volkswagen,Tiguan,light truck
Volkswagen,Tiguan Limited,light truck
Volkswagen,Touareg,light truck
Volkswagen,Touareg 2,light truck
volkswagen,vanagon,light truck
Volvo,240,car
Volvo,740,car
Volvo,850,car
Volvo,940,car
Volvo,960,car
Volvo,C30,car
Volvo,C70,car
Volvo,S40,car
Volvo,S40 (New),car
Volvo,S60,car
Volvo,S70,car
Volvo,S80,car
Volvo,S90,car
Volvo,V40,car
Volvo,V50,car
Volvo,V60,car
Volvo,V70,car
Volvo,V90,car
Volvo,XC40,light truck
Volvo,XC60,light truck
Volvo,XC70,car
Volvo,XC90,light truck
