Route_ID,Route_Name,Mode,AM_Headway,PM_Headway,OP_Headway ,Night_Headway,Night_Hours,Config,Fare
         1,398104    ,         4,  36.00000,  45.00000, 180.00000,   0.00000,         0,    398104,    4.54
         2,398204    ,         4,  90.00000,  45.00000, 120.00000,  60.00000,         2,    398204,    4.54
         3,399101    ,         5,  30.00000,  30.00000,  30.00000,  30.00000,         4,    399101,    1.82
         4,399201    ,         5,  30.00000,  30.00000,  30.00000,  30.00000,         4,    399201,    1.82
         5,510119    ,         5,   7.50000,   7.50000,  15.00000,  15.00000,         6,    510119,    2.27
         6,510219    ,         5,   7.50000,   7.50000,  15.00000,  15.00000,         6,    510219,    2.27
         7,520112    ,         5,  15.00000,  15.00000,  15.00000,  15.00000,         6,    520112,    2.27
         8,520212    ,         5,  15.00000,  15.00000,  15.00000,  15.00000,         6,    520212,    2.27
         9,530113    ,         5,  15.00000,  15.00000,  15.00000,  30.00000,        10,    530113,    2.27
        10,530213    ,         5,  15.00000,  15.00000,  15.00000,  30.00000,        10,    530213,    2.27
        11,235101    ,         6,  15.00000,  15.00000,  25.00000,  30.00000,         8,    235101,    2.27
        12,235201    ,         6,  15.00000,  15.00000,  25.00000,  30.00000,         8,    235201,    2.27
        13,237101    ,         6,  30.00000,  30.00000,   0.00000,   0.00000,         0,    237101,    2.27
        14,237103    ,         6,  30.00000,  45.00000, 180.00000,  30.00000,         2,    237103,    2.27
        15,237201    ,         6,  30.00000,  30.00000,   0.00000,   0.00000,         0,    237201,    2.27
        16,237203    ,         6,  45.00000,  45.00000,  90.00000,  30.00000,         2,    237203,    2.27
        17,288101    ,         6,  20.00000,   0.00000,   0.00000,  60.00000,         1,    288101,    4.54
        18,288201    ,         6,   0.00000,  20.00000,   0.00000,  60.00000,         2,    288201,    4.54
        19,290101    ,         6,  15.00000,   0.00000,   0.00000,  60.00000,         1,    290101,    4.54
        20,290201    ,         6,   0.00000,  15.00000,   0.00000,  60.00000,         1,    290201,    4.54
        21,201103    ,         7,  12.00000,  10.00000,  12.00000,  15.00000,         5,    201103,    2.04
        22,202106    ,         7,  12.00000,  10.00000,  10.00000,  15.00000,         4,    202106,    2.04
        23,204101    ,         7,  15.00000,  15.00000,  15.00000,  15.00000,         4,    204101,    2.04
        24,215101    ,         7,  10.00000,  10.00000,  15.00000,  15.00000,         5,    215101,    2.04
        25,215201    ,         7,  10.00000,  10.00000,  15.00000,  15.00000,         5,    215201,    2.04
        26,350103    ,         7,  15.00000,  12.00000,  12.00000,  30.00000,         5,    350103,    1.59
        27,350203    ,         7,  15.00000,  12.00000,  12.00000,  30.00000,         5,    350203,    1.59
        28,870105    ,         8,   0.00000,  90.00000,   0.00000,   0.00000,         0,    870105,    2.27
        29,870115    ,         8,  90.00000,   0.00000,   0.00000,   0.00000,         0,    870115,    2.27
        30,870205    ,         8,  90.00000,   0.00000,   0.00000,   0.00000,         0,    870205,    2.27
        31,870215    ,         8,   0.00000, 180.00000,   0.00000,   0.00000,         0,    870215,    2.27
        32, 10104    ,         9,  12.00000,  15.00000,  15.00000,  15.00000,         4,     10104,    2.04
        33, 10204    ,         9,  15.00000,  12.00000,  15.00000,  15.00000,         4,     10204,    2.04
        34, 20114    ,         9,  30.00000,  30.00000,   0.00000,   0.00000,         0,     20114,    2.27
        35, 20120    ,         9,  30.00000,  30.00000,  30.00000,  30.00000,         4,     20120,    2.27
        36, 20214    ,         9,  30.00000,  30.00000,   0.00000,   0.00000,         0,     20214,    2.27
        37, 20220    ,         9,  30.00000,  30.00000,  30.00000,  30.00000,         4,     20220,    2.27
        38, 50111    ,         9,  22.50000,  30.00000,  60.00000,  30.00000,         2,     50111,    2.27
        39, 50211    ,         9,  30.00000,  30.00000,  60.00000,  30.00000,         2,     50211,    2.27
        40, 60108    ,         9,  30.00000,   0.00000,   0.00000,   0.00000,         0,     60108,    2.27
        41, 60208    ,         9,   0.00000,  30.00000,   0.00000,   0.00000,         0,     60208,    2.27
        42,110101    ,         9,  45.00000,   0.00000,   0.00000,   0.00000,         0,    110101,    2.27
        43,110201    ,         9,   0.00000,  45.00000,   0.00000,   0.00000,         0,    110201,    2.27
        44,120112    ,         9,  30.00000,  30.00000,  30.00000,  60.00000,         1,    120112,    2.04
        45,120116    ,         9,  30.00000,  30.00000,  30.00000,  30.00000,         4,    120116,    2.04
        46,120212    ,         9,  30.00000,  30.00000,  30.00000,  60.00000,         1,    120212,    2.04
        47,120216    ,         9,  30.00000,  30.00000,  30.00000,  30.00000,         4,    120216,    2.04
        48,150119    ,         9,  30.00000,  15.00000,  30.00000,  30.00000,         3,    150119,    2.27
        49,150120    ,         9,   0.00000,  20.00000,   0.00000,   0.00000,         0,    150120,    2.27
        50,150219    ,         9,  15.00000,  30.00000,  30.00000,  30.00000,         4,    150219,    2.27
        51,150220    ,         9,  20.00000,   0.00000,   0.00000,   0.00000,         0,    150220,    2.27
        52,709118    ,         9,   0.00000,  30.00000, 120.00000,   0.00000,         0,    709118,    2.04
        53,709218    ,         9,  15.00000,   0.00000,   0.00000,   0.00000,         0,    709218,    2.04
        54,950102    ,         9,  15.00000,   0.00000,  30.00000,  30.00000,         2,    950102,    2.27
        55,950202    ,         9,   0.00000,  20.00000,   0.00000,  30.00000,         2,    950202,    2.27
        56,  1111    ,        10,  30.00000,  30.00000,  30.00000,   0.00000,         0,      1111,    2.04
        57,  1115    ,        10,  30.00000,  30.00000,  30.00000,  30.00000,         6,      1115,    2.04
        58,  1211    ,        10,  30.00000,  30.00000,  30.00000,   0.00000,         0,      1211,    2.04
        59,  1215    ,        10,  30.00000,  30.00000,  30.00000,  30.00000,         6,      1215,    2.04
        60,  2114    ,        10,  12.00000,  12.00000,  15.00000,  30.00000,        10,      2114,    2.04
        61,  2214    ,        10,  12.00000,  12.00000,  15.00000,  30.00000,        10,      2214,    2.04
        62,  3101    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         8,      3101,    2.04
        63,  3201    ,        10,  15.00000,  10.00000,  15.00000,  30.00000,         8,      3201,    2.04
        64,  4105    ,        10,  30.00000,  30.00000,  30.00000,  30.00000,         5,      4105,    2.04
        65,  4205    ,        10,  30.00000,  30.00000,  30.00000,  30.00000,         5,      4205,    2.04
        66,  5110    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         6,      5110,    2.04
        67,  5210    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         6,      5210,    2.04
        68,  6110    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         6,      6110,    2.04
        69,  6210    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         6,      6210,    2.04
        70,  7110    ,        10,  24.00000,  24.00000,  24.00000,  30.00000,         5,      7110,    2.04
        71,  7111    ,        10,  24.00000,  24.00000,  24.00000,  30.00000,         8,      7111,    2.04
        72,  7112    ,        10,  15.00000,   0.00000,   0.00000,   0.00000,         0,      7112,    2.04
        73,  7210    ,        10,  24.00000,  24.00000,  24.00000,  30.00000,         5,      7210,    2.04
        74,  7211    ,        10,  24.00000,  24.00000,  24.00000,  30.00000,         8,      7211,    2.04
        75,  7212    ,        10,   0.00000,  12.00000,   0.00000,   0.00000,         0,      7212,    2.04
        76,  8106    ,        10,  30.00000,  20.00000,  20.00000,  30.00000,         7,      8106,    2.04
        77,  8206    ,        10,  30.00000,  20.00000,  20.00000,  30.00000,         7,      8206,    2.04
        78,  9109    ,        10,  30.00000,  20.00000,  20.00000,  30.00000,         3,      9109,    2.04
        79,  9209    ,        10,  30.00000,  20.00000,  20.00000,  30.00000,         3,      9209,    2.04
        80, 11110    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         6,     11110,    2.04
        81, 11111    ,        10,   0.00000,  15.00000,   0.00000,   0.00000,         0,     11111,    2.04
        82, 11210    ,        10,  15.00000,  15.00000,  15.00000,  30.00000,         6,     11210,    2.04
