Azone,Bzone,Czone,Marea
12,13,NA,SD-Urban-TransitService
19,14,NA,None
19,15,NA,SD-Urban-TransitService
19,16,NA,SD-Urban-TransitService
19,17,NA,None
19,18,NA,None
19,19,NA,None
19,20,NA,None
19,21,NA,None
19,22,NA,None
19,23,NA,None
19,24,NA,None
19,25,NA,None
19,26,NA,None
19,27,NA,None
19,28,NA,None
19,29,NA,None
19,30,NA,None
19,31,NA,None
19,32,NA,None
19,33,NA,None
19,34,NA,None
19,35,NA,None
19,36,NA,None
19,37,NA,None
19,38,NA,SD-Urban-TransitService
19,39,NA,None
19,40,NA,None
19,41,NA,None
19,42,NA,None
19,43,NA,None
19,44,NA,None
19,45,NA,None
19,46,NA,None
19,47,NA,None
19,48,NA,None
19,49,NA,SD-Urban-TransitService
19,50,NA,SD-Urban-TransitService
19,51,NA,SD-Urban-TransitService
19,52,NA,None
19,53,NA,None
19,54,NA,None
19,55,NA,SD-Urban-TransitService
19,56,NA,SD-Urban-TransitService
19,57,NA,SD-Urban-TransitService
19,58,NA,SD-Urban-TransitService
19,59,NA,SD-Urban-TransitService
19,60,NA,SD-Urban-TransitService
19,61,NA,SD-Urban-TransitService
19,62,NA,SD-Urban-TransitService
19,63,NA,SD-Urban-TransitService
19,64,NA,None
19,65,NA,SD-Urban-TransitService
19,66,NA,None
19,67,NA,SD-Urban-TransitService
19,68,NA,SD-Urban-TransitService
19,69,NA,SD-Urban-TransitService
19,70,NA,SD-Urban-TransitService
19,71,NA,None
19,72,NA,None
19,73,NA,None
19,74,NA,None
19,75,NA,SD-Urban-TransitService
19,76,NA,SD-Urban-TransitService
19,77,NA,None
19,78,NA,SD-Urban-TransitService
19,79,NA,None
19,80,NA,None
19,81,NA,None
19,82,NA,None
19,83,NA,SD-Urban-TransitService
19,84,NA,SD-Urban-TransitService
19,85,NA,SD-Urban-TransitService
19,86,NA,SD-Urban-TransitService
19,87,NA,None
19,88,NA,None
19,89,NA,None
19,90,NA,None
19,91,NA,None
19,92,NA,SD-Urban-TransitService
19,93,NA,None
19,94,NA,None
19,95,NA,None
19,96,NA,None
19,97,NA,None
19,98,NA,None
19,99,NA,SD-Urban-TransitService
19,100,NA,SD-Urban-TransitService
19,101,NA,None
19,102,NA,None
19,103,NA,SD-Urban-TransitService
19,104,NA,None
19,105,NA,None
19,106,NA,None
19,107,NA,None
19,108,NA,None
19,109,NA,None
19,110,NA,None
19,111,NA,None
19,112,NA,None
19,113,NA,None
19,114,NA,SD-Urban-TransitService
19,115,NA,None
19,116,NA,None
19,117,NA,None
19,118,NA,SD-Urban-TransitService
19,119,NA,None
19,120,NA,None
19,121,NA,None
19,122,NA,SD-Urban-TransitService
19,123,NA,None
19,124,NA,None
19,125,NA,None
19,126,NA,None
19,127,NA,None
19,128,NA,None
19,129,NA,None
19,130,NA,None
19,131,NA,SD-Urban-TransitService
19,132,NA,None
19,133,NA,None
19,134,NA,None
19,135,NA,SD-Urban-TransitService
19,136,NA,None
19,137,NA,None
19,138,NA,None
19,139,NA,None
19,140,NA,None
19,141,NA,None
19,142,NA,None
19,143,NA,SD-Urban-TransitService
19,144,NA,None
19,145,NA,None
19,146,NA,None
19,147,NA,None
19,148,NA,None
19,149,NA,None
19,150,NA,SD-Urban-TransitService
19,151,NA,None
19,152,NA,None
19,153,NA,SD-Urban-TransitService
19,154,NA,None
19,155,NA,None
19,156,NA,None
19,157,NA,None
19,158,NA,None
19,159,NA,None
19,160,NA,None
19,161,NA,None
19,162,NA,SD-Urban-TransitService
19,163,NA,None
19,164,NA,None
19,165,NA,SD-Urban-TransitService
19,166,NA,None
19,167,NA,None
19,168,NA,None
19,169,NA,None
19,170,NA,SD-Urban-TransitService
19,171,NA,SD-Urban-TransitService
19,172,NA,None
19,173,NA,None
19,174,NA,None
19,175,NA,None
19,176,NA,SD-Urban-TransitService
19,177,NA,None
19,178,NA,None
19,179,NA,None
19,180,NA,SD-Urban-TransitService
19,181,NA,None
19,182,NA,None
19,183,NA,None
19,184,NA,SD-Urban-TransitService
19,185,NA,None
19,186,NA,None
19,187,NA,None
19,188,NA,None
19,189,NA,None
19,190,NA,None
19,191,NA,None
19,192,NA,None
19,193,NA,None
19,194,NA,None
19,195,NA,None
19,196,NA,None
19,197,NA,None
12,198,NA,None
19,199,NA,None
19,200,NA,None
12,201,NA,None
19,202,NA,None
19,203,NA,None
19,204,NA,SD-Urban-TransitService
19,205,NA,None
19,206,NA,None
19,207,NA,None
19,208,NA,None
19,209,NA,None
19,210,NA,None
19,211,NA,None
19,212,NA,None
19,213,NA,None
19,214,NA,SD-Urban-TransitService
19,215,NA,None
19,216,NA,None
19,217,NA,None
19,218,NA,SD-Urban-TransitService
19,219,NA,SD-Urban-TransitService
12,220,NA,SD-Urban-TransitService
19,221,NA,None
19,222,NA,None
19,223,NA,None
19,224,NA,None
19,225,NA,None
19,226,NA,None
19,227,NA,None
19,228,NA,None
19,229,NA,None
19,230,NA,None
19,231,NA,None
19,232,NA,None
12,233,NA,SD-Urban-TransitService
19,234,NA,None
19,235,NA,None
19,236,NA,SD-Urban-TransitService
19,237,NA,None
19,238,NA,None
12,239,NA,SD-Urban-TransitService
19,240,NA,None
19,241,NA,None
12,242,NA,None
19,243,NA,None
19,244,NA,None
19,245,NA,None
19,246,NA,None
19,247,NA,None
19,248,NA,None
19,249,NA,None
19,250,NA,None
19,251,NA,None
19,252,NA,None
19,253,NA,None
19,254,NA,None
19,255,NA,None
19,256,NA,None
19,257,NA,None
19,258,NA,None
19,259,NA,None
12,260,NA,SD-Urban-TransitService
12,261,NA,None
19,262,NA,None
12,263,NA,None
19,264,NA,None
12,265,NA,None
12,266,NA,SD-Urban-TransitService
19,267,NA,None
12,268,NA,None
12,269,NA,SD-Urban-TransitService
19,270,NA,SD-Urban-TransitService
19,271,NA,None
19,272,NA,SD-Urban-TransitService
19,273,NA,None
19,274,NA,None
12,275,NA,SD-Urban-TransitService
12,276,NA,None
19,277,NA,None
19,278,NA,None
12,279,NA,SD-Urban-TransitService
12,280,NA,None
19,281,NA,None
19,282,NA,None
19,283,NA,None
19,284,NA,None
19,285,NA,None
19,286,NA,None
19,287,NA,None
19,288,NA,None
19,289,NA,None
19,290,NA,None
19,291,NA,None
19,292,NA,None
19,293,NA,None
19,294,NA,None
19,295,NA,None
12,296,NA,None
12,297,NA,SD-Urban-TransitService
19,298,NA,None
19,299,NA,None
19,300,NA,SD-Urban-TransitService
19,301,NA,None
12,302,NA,None
12,303,NA,SD-Urban-TransitService
19,304,NA,None
12,305,NA,None
12,306,NA,None
12,307,NA,None
19,308,NA,None
19,309,NA,None
12,310,NA,SD-Urban-TransitService
12,311,NA,None
12,312,NA,SD-Urban-TransitService
12,313,NA,SD-Urban-TransitService
19,314,NA,None
19,315,NA,None
12,316,NA,SD-Urban-TransitService
19,317,NA,None
19,318,NA,None
19,319,NA,None
12,320,NA,SD-Urban-TransitService
12,321,NA,None
12,322,NA,None
19,323,NA,None
19,324,NA,None
19,325,NA,None
19,326,NA,SD-Urban-TransitService
19,327,NA,None
12,328,NA,SD-Urban-TransitService
19,329,NA,None
12,330,NA,SD-Urban-TransitService
19,331,NA,None
19,332,NA,None
12,333,NA,SD-Urban-TransitService
12,334,NA,SD-Urban-TransitService
12,335,NA,SD-Urban-TransitService
12,336,NA,SD-Urban-TransitService
19,337,NA,None
18,338,NA,None
12,339,NA,SD-Urban-TransitService
12,340,NA,None
12,341,NA,None
19,342,NA,None
12,343,NA,SD-Urban-TransitService
12,344,NA,None
18,345,NA,SD-Urban-TransitService
12,346,NA,SD-Urban-TransitService
19,347,NA,SD-Urban-TransitService
19,348,NA,None
12,349,NA,None
12,350,NA,None
18,351,NA,SD-Urban-TransitService
18,352,NA,SD-Urban-TransitService
18,353,NA,SD-Urban-TransitService
19,354,NA,None
19,355,NA,None
19,356,NA,SD-Urban-TransitService
19,357,NA,SD-Urban-TransitService
19,358,NA,None
12,359,NA,None
18,360,NA,None
12,361,NA,None
18,362,NA,None
19,363,NA,None
12,364,NA,None
12,365,NA,SD-Urban-TransitService
12,366,NA,SD-Urban-TransitService
18,367,NA,SD-Urban-TransitService
12,368,NA,SD-Urban-TransitService
12,369,NA,SD-Urban-TransitService
19,370,NA,None
19,371,NA,None
18,372,NA,SD-Urban-TransitService
12,373,NA,SD-Urban-TransitService
18,374,NA,SD-Urban-TransitService
18,375,NA,SD-Urban-TransitService
18,376,NA,SD-Urban-TransitService
12,377,NA,SD-Urban-TransitService
12,378,NA,SD-Urban-TransitService
19,379,NA,SD-Urban-TransitService
18,380,NA,SD-Urban-TransitService
12,381,NA,SD-Urban-TransitService
12,382,NA,None
19,383,NA,None
18,384,NA,None
12,385,NA,None
18,386,NA,None
19,387,NA,None
19,388,NA,None
19,389,NA,None
18,390,NA,SD-Urban-TransitService
19,391,NA,SD-Urban-TransitService
12,392,NA,SD-Urban-TransitService
19,393,NA,SD-Urban-TransitService
19,394,NA,None
12,395,NA,SD-Urban-TransitService
12,396,NA,SD-Urban-TransitService
12,397,NA,None
19,398,NA,None
12,399,NA,None
12,400,NA,None
18,401,NA,None
19,402,NA,None
12,403,NA,None
19,404,NA,None
12,405,NA,None
18,406,NA,SD-Urban-TransitService
18,407,NA,SD-Urban-TransitService
18,408,NA,SD-Urban-TransitService
19,409,NA,None
